
					A-mốt 1				|
						阿摩司書 1					
Lời của A-mốt, người trong bọn chăn ở Thê-cô -a, là lời đã được soi dẫn cho người về Y-sơ-ra-ên, đang đời Ô-xia, vua Giu-đa, và đang đời Giê-rô-bô-am, con trai Giô-ách, vua Y-sơ-ra-ên, hai năm trước cơn động đất.|當 猶 大 王 烏 西 雅 、 以 色 列 王 約 阿 施 的 兒 子 耶 羅 波 安 在 位 的 時 候 、 大 地 震 前 二 年 、 提 哥 亞 牧 人 中 的 阿 摩 司 得 默 示 論 以 色 列 。
Người nói rằng: Đức Giê-hô-va sẽ gầm thét từ Si-ôn. Ngài làm cho vang tiếng mình ra từ Giê-ru-sa-lem. Những đồng cỏ của kẻ chăn chiên sẽ thảm sầu, chót núi Cạt-mên sẽ khô héo.|他 說 、 耶 和 華 必 從 錫 安 吼 叫 、 從 耶 路 撒 冷 發 聲 ． 牧 人 的 草 場 要 悲 哀 、 迦 密 的 山 頂 要 枯 乾 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Đa-mách đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó, vì chúng nó đã lấy đồ đập lúa bằng sắt mà đập Ga-la-át.|耶 和 華 如 此 說 、 大 馬 色 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 的 刑 罰 ． 因 為 他 以 打 糧 食 的 鐵 器 打 過 基 列 。
Ta sẽ sai lửa đến trong nhà Ha-xa-ên, đặng thiêu nuốt đền đài của Bên-Ha-đát.|我 卻 要 降 火 在 哈 薛 的 家 中 、 燒 滅 便 哈 達 的 宮 殿 。
Ta sẽ bẻ gãy then của Đa-mách; ta sẽ dứt dân cư khỏi trũng A-ven, và kẻ cầm cây trượng khỏi nhà Ê-đen; còn dân sự Sy-ri sẽ bị đày qua Ki-rơ làm phu tù, Đức Giê-hô-va phán vậy.|我 必 折 斷 大 馬 色 的 門 閂 、 剪 除 亞 文 平 原 的 居 民 和 伯 ． 伊 甸 掌 權 的 ． 亞 蘭 人 必 被 擄 到 吉 珥 ． 這 是 耶 和 華 說 的 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ga-xa đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã đem hết dân sự đi làm phu tù mà nộp cho Ê-đôm.|耶 和 華 如 此 說 、 迦 薩 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 的 刑 罰 ． 因 為 他 擄 掠 眾 民 交 給 以 東 。
Ta sẽ sai lửa đến trên vách thành Ga-xa, nó sẽ thiêu nuốt những đền đài nó.|我 卻 要 降 火 在 迦 薩 的 城 內 、 燒 滅 其 中 的 宮 殿 。
Ta sẽ dứt dân cư khỏi Ach-đốt và kẻ cầm cây trượng khỏi Ach-ca-lôn. Ta sẽ trở tay ta nghịch cùng Ec-rôn; và phần sót lại của người Phi-li-tin sẽ chết, Chúa Giê-hô-va phán vậy.|我 必 剪 除 亞 實 突 的 居 民 、 和 亞 實 基 倫 掌 權 的 ． 也 必 反 手 攻 擊 以 革 倫 ． 非 利 士 人 所 餘 剩 的 必 都 滅 亡 。 這 是 主 耶 和 華 說 的 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ty-rơ đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã nộp hết dân sự cho Ê-đôm, chẳng hề nhớ đến sự giao ước anh em.|耶 和 華 如 此 說 、 推 羅 三 番 四 次 地 犯 罪 、 我 必 不 免 去 他 的 刑 罰 ． 因 為 他 將 眾 民 交 給 以 東 、 並 不 記 念 弟 兄 的 盟 約 。
Ta sẽ sai lửa đến trên vách thành Ty-rơ, nó sẽ thiêu nuốt những đền đài nó.|我 卻 要 降 火 在 推 羅 的 城 內 、 燒 滅 其 中 的 宮 殿 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ê-đôm đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì nó đã dùng gươm đuổi theo anh em mình, bẻ cả lòng thương xót, và cơn giận nó cứ cắn xé không thôi, nuôi sự thạnh nộ đời đời.|耶 和 華 如 此 說 、 以 東 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 的 刑 罰 ． 因 為 他 拿 刀 追 趕 兄 弟 、 毫 無 憐 憫 、 發 怒 撕 裂 、 永 懷 忿 怒 。
Ta sẽ sai lửa đến trên Thê-man, nó sẽ thiêu nuốt những đền đài của Bốt-ra.|我 卻 要 降 火 在 提 幔 、 燒 滅 波 斯 拉 的 宮 殿 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của con cái Am-môn đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó, vì chúng nó đã mổ bụng đờn bà chửa của Ga-la-át đặng mở rộng bờ cõi mình.|耶 和 華 如 此 說 、 亞 捫 人 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 們 的 刑 罰 ． 因 為 他 們 剖 開 基 列 的 孕 婦 、 擴 張 自 己 的 境 界 。
Ta sẽ thắp lửa trong vách thành Ráp-ba, nó sẽ thiêu nuốt những đền đài nó giữa tiếng kêu giặc giã trong ngày chiến trận, giữa cơn gió lốc trong ngày bão táp.|我 卻 要 在 爭 戰 吶 喊 的 日 子 、 旋 風 狂 暴 的 時 候 、 點 火 在 拉 巴 的 城 內 、 燒 滅 其 中 的 宮 殿 。
Vua chúng nó cùng các quan trưởng sẽ đi làm phu tù cùng nhau, Đức Giê-hô-va phán vậy.|他 們 的 王 和 首 領 必 一 同 被 擄 去 。 這 是 耶 和 華 說 的 。

					A-mốt 2				|
						阿摩司書 2					
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Mô-áp đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì nó đã đốt hài cốt của vua Ê-đôm đặng làm ra vôi.|耶 和 華 如 此 說 、 摩 押 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 的 刑 罰 ． 因 為 他 將 以 東 王 的 骸 骨 焚 燒 成 灰 。
Ta sẽ sai lửa đến trên Mô-áp, nó sẽ thiêu nuốt đền đài của Kê-ri-giốt. Mô-áp sẽ chết trong sự ồn ào, giữa tiếng kêu, khi tiếng kèn thổi.|我 卻 要 降 火 在 摩 押 、 燒 滅 加 略 的 宮 殿 ． 摩 押 必 在 鬨 嚷 吶 喊 吹 角 之 中 死 亡 。
Ta sẽ dứt quan xét khỏi giữa nó, và giết hết thảy các quan trưởng nó với nó, Đức Giê-hô-va phán vậy.|我 必 剪 除 摩 押 中 的 審 判 者 、 將 其 中 的 一 切 首 領 和 他 一 同 殺 戮 。 這 是 耶 和 華 說 的 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Giu-đa đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã bỏ luật pháp của Đức Giê-hô-va và không vâng theo lệ luật Ngài, những sự giả dối mà tổ phụ chúng nó đã theo, làm lầm lạc chúng nó.|耶 和 華 如 此 說 、 猶 大 人 三 番 四 次 ． 犯 罪 、 我 必 不 免 去 他 們 的 刑 罰 ． 因 為 他 們 厭 棄 耶 和 華 的 訓 誨 、 不 遵 守 他 的 律 例 ． 他 們 列 祖 所 隨 從 虛 假 的 偶 像 使 他 們 走 迷 了 。
Ta sẽ sai lửa đến trên Giu-đa, nó sẽ thiêu nuốt những đền đài của Giê-ru-sa-lem.|我 卻 要 降 火 在 猶 大 、 燒 滅 耶 路 撒 冷 的 宮 殿 。
Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Y-sơ-ra-ên đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã bán người công bình lấy bạc, bán kẻ nghèo lấy một đôi dép.|耶 和 華 如 此 說 、 以 色 列 人 三 番 四 次 的 犯 罪 、 我 必 不 免 去 他 們 的 刑 罰 ． 因 他 們 為 銀 子 賣 了 義 人 、 為 一 雙 鞋 賣 了 窮 人 。
Chúng nó cũng tham cả đến bụi đất trên đầu người nghèo khó, và làm cong đường của kẻ nhu mì. Con và cha cùng đến chung một đứa gái, như vậy làm cho ô danh thánh ta.|他 們 見 窮 人 頭 上 所 蒙 的 灰 也 都 垂 涎 、 阻 礙 謙 卑 人 的 道 路 ． 父 子 同 一 個 女 子 行 淫 、 褻 瀆 我 的 聖 名 ．
Chúng nó nằm gần mỗi bàn thờ, trên những áo xống đã nhận làm của tin, và uống rượu của kẻ phải phạt trong miếu thần chúng nó.|他 們 在 各 壇 旁 鋪 人 所 當 的 衣 服 、 臥 在 其 上 ． 又 在 他 們 神 的 廟 中 、 喝 受 罰 之 人 的 酒 。
Dầu vậy, chính ta đã tuyệt diệt người A-mô-rít trước mặt chúng nó, là thứ người cao bằng cây bách và mạnh như cây dẻ bộp. Ta đã diệt những trái nó ở trên và những rễ nó ở dưới.|我 從 以 色 列 人 面 前 除 滅 亞 摩 利 人 。 他 雖 高 大 如 香 柏 樹 、 堅 固 如 橡 樹 、 我 卻 上 滅 他 的 果 子 、 下 絕 他 的 根 本 。
Ta cũng đã đem các ngươi lên khỏi đất Ê-díp-tô, và dắt các ngươi trong đồng vắng trải bốn mươi năm, hầu cho các ngươi được đất của người A-mô-rít làm sản nghiệp.|我 也 將 你 們 從 埃 及 地 領 上 來 、 在 曠 野 引 導 你 們 四 十 年 、 使 你 們 得 亞 摩 利 人 之 地 為 業 。
Ta đã dấy mấy kẻ tiên tri lên trong vòng con trai các ngươi, và dấy mấy người Na-xi-rê lên trong vòng bọn trai trẻ các ngươi. Đức Giê-hô-va phán: Hỡi con cái Y-sơ-ra-ên, chẳng phải vậy sao?|我 從 你 們 子 弟 中 興 起 先 知 、 又 從 你 們 少 年 人 中 興 起 拿 細 耳 人 。 以 色 列 人 哪 、 不 是 這 樣 麼 ． 這 是 耶 和 華 說 的 。
Nhưng các ngươi đã cho các người Na-xi-rê uống rượu, và cấm các kẻ tiên tri rằng: Chớ nói tiên tri!|你 們 卻 給 拿 細 耳 人 酒 喝 、 囑 咐 先 知 說 、 不 要 說 豫 言 。
Nầy, ta sẽ chận ép các ngươi trong nơi các ngươi cũng như cái xe đầy những lúa bó chận ép.|看 哪 、 在 你 們 所 住 之 地 、 我 必 壓 你 們 、 如 同 裝 滿 禾 捆 的 車 壓 物 一 樣 。
Người lẹ làng sẽ không thể trốn được; người mạnh mẽ sẽ không bổ sức cho mình nữa, và người bạo dạn sẽ chẳng cứu được mạng sống mình.|快 跑 的 不 能 逃 脫 ． 有 力 的 不 能 用 力 、 剛 勇 的 也 不 能 自 救 。
Kẻ giương cung sẽ chẳng đứng vững được; kẻ có chơn lẹ làng sẽ chẳng lánh khỏi được; người cỡi ngựa sẽ khí huyết cứu mình;|拿 弓 的 不 能 站 立 、 腿 快 的 不 能 逃 脫 ． 騎 馬 的 也 不 能 自 救 。
và kẻ bạo gan trong những người mạnh mẽ sẽ ở trần mà trốn trong ngày đó, Đức Giê-hô-va phán vậy.|到 那 日 、 勇 士 中 最 有 膽 量 的 、 必 赤 身 逃 跑 ． 這 是 耶 和 華 說 的 。

					A-mốt 3				|
						阿摩司書 3					
Hỡi con cái Y-sơ-ra-ên, hãy nghe lời nầy, là lời Đức Giê-hô-va phán nghịch cùng các ngươi, tức là nghịch cùng cả họ hàng mà ta đã đem lên khỏi đất Ê-díp-tô.|以 色 列 人 哪 、 你 們 全 家 是 我 從 埃 及 地 領 上 來 的 、 當 聽 耶 和 華 攻 擊 你 們 的 話 。
Ta đã biết chỉ một mình các ngươi trong mọi họ hàng trên đất; vậy nên ta sẽ thăm phạt các ngươi vì mọi sự gian ác các ngươi.|在 地 上 萬 族 中 、 我 只 認 識 你 們 ． 因 此 、 我 必 追 討 你 們 的 一 切 罪 孽 。
Nếu hai người không đồng ý với nhau, thì há cùng đi chung được sao?|二 人 若 不 同 心 、 豈 能 同 行 呢 。
Nếu sư tử không bắt được mồi, thì há có gầm thét trong rừng sao? Sư tử con nếu không bắt được gì, thì há có làm vang những tiếng kêu từ nơi sâu của hang nó sao?|獅 子 若 非 抓 食 、 豈 能 在 林 中 咆 哮 呢 。 少 壯 獅 子 若 無 所 得 、 豈 能 從 洞 中 發 聲 呢 。
