
					Ô-ba-đi-a 1				|
						俄巴底亞書 1					
Sự hiện thấy của Ap-đia. Chúa Giê-hô-va phán về Ê-đôm như vầy: chúng ta có nghe lời rao từ Đức Giê-hô-va, và một sứ giả được sai đi giữa các nước rằng: Các ngươi hãy dấy lên! Chúng ta hãy dấy lên nghịch cùng dân nầy đặng đánh trận với nó!|俄 巴 底 亞 得 了 耶 和 華 的 默 示 。 論 以 東 說 、 我 從 耶 和 華 那 裡 聽 見 信 息 、 並 有 使 者 被 差 往 列 國 去 、 說 、 起 來 罷 、 一 同 起 來 與 以 東 爭 戰 。
Nầy, ta đã khiến ngươi làm nhỏ giữa các nước. Ngươi bị khinh dể lắm.|我 使 你 以 東 在 列 國 中 為 最 小 的 、 被 人 大 大 藐 視 。
Hỡi ngươi là kẻ ở trong khe vầng đá, trong nơi cao, ngươi nói trong lòng mình rằng: Ai sẽ có thể xô ta xuống đất? sự kiêu ngạo của lòng ngươi đã lừa dối ngươi.|住 在 山 穴 中 、 居 所 在 高 處 的 阿 、 你 因 狂 傲 自 欺 、 心 裡 說 、 誰 能 將 我 拉 下 地 去 呢 。
Dầu ngươi lên cao như chim ưng, dầu ngươi lót ổ giữa các ngôi sao, ta cũng sẽ xô ngươi xuống khỏi đó, Đức Giê-hô-va phán vậy!|你 雖 如 大 鷹 高 飛 、 在 星 宿 之 間 搭 窩 、 我 必 從 那 裡 拉 下 你 來 ． 這 是 耶 和 華 說 的 。
Ngươi bị hủy diệt là thể nào! Nếu kẻ trộm hay là kẻ cướp ban đêm đến ngươi, thì há chẳng chỉ cướp lấy vừa đủ mà thôi sao? Nếu những người hái nho đến cùng ngươi, há chẳng để sót lại một vài buồng nho sao?|盜 賊 若 來 在 你 那 裡 、 或 強 盜 夜 間 而 來 、 （ 你 何 竟 被 剪 除 ） 豈 不 偷 竊 直 到 彀 了 呢 ． 摘 葡 萄 的 若 來 到 你 那 裡 、 豈 不 剩 下 些 葡 萄 呢 。
Ê-sau đã bị lục soát là thể nào! Những đồ châu báu giấu kín của người đã bị khám xét là thể nào!|以 掃 的 隱 密 處 、 何 竟 被 搜 尋 ． 他 隱 藏 的 寶 物 、 何 竟 被 查 出 。
Mọi kẻ đồng minh cùng ngươi đã đuổi ngươi cho đến nơi bờ cõi. Những kẻ hòa thuận cùng ngươi, thì phỉnh ngươi, thắng hơn ngươi; còn những kẻ ăn bánh ngươi, thì đánh bẫy dưới ngươi; và người không có sự hiểu biết!|與 你 結 盟 的 、 都 送 你 上 路 、 直 到 交 界 ． 與 你 和 好 的 、 欺 騙 你 、 且 勝 過 你 ． 與 你 一 同 喫 飯 的 設 下 網 羅 陷 害 你 ． 在 你 心 裡 毫 無 聰 明 。
Đức Giê-hô-va phán: Trong ngày đó, ta há chẳng diệt những kẻ khôn khỏi xứ Ê-đôm, và những người thông sáng khỏi núi Ê-sau sao?|耶 和 華 說 、 到 那 日 、 我 豈 不 從 以 東 除 滅 智 慧 人 、 從 以 掃 山 除 滅 聰 明 人 。
Hỡi Thê-man, những lính-chiến của ngươi sẽ thất kinh, hầu cho ai nấy bị trừ khỏi núi Ê-sau trong lúc giết lát.|提 幔 哪 、 你 的 勇 士 必 驚 惶 、 甚 致 以 掃 山 的 人 、 都 被 殺 戮 剪 除 。
