
					Mi-ca 1				|
						彌迦書 1					
Lời của Đức Giê-hô-va phán cho Mi-chê, người Mô-rê-sết, trong ngày Giô-tham, A-cha, và Ê-xê-chia, các vua của Giu-đa, là lời người thấy về Sa-ma-ri và Giê-ru-sa-lem.|當 猶 大 王 約 坦 、 亞 哈 斯 、 希 西 家 在 位 的 時 候 、 摩 利 沙 人 彌 迦 得 耶 和 華 的 默 示 、 論 撒 瑪 利 亞 和 耶 路 撒 冷 。
Hỡi hết thảy các dân, hãy nghe! Hỡi đất và mọi vật chứa trên đất, hãy lắng tai! Nguyền xin Chúa Giê-hô-va từ đền thành Ngài, nguyền xin Chúa làm chứng nghịch cùng các ngươi!|萬 民 哪 、 你 們 都 要 聽 ． 地 和 其 上 所 有 的 、 也 都 要 側 耳 而 聽 ． 主 耶 和 華 從 他 的 聖 殿 要 見 證 你 們 的 不 是 。
Vì nầy, Đức Giê-hô-va ra từ chỗ Ngài, xuống và đạp trên các nơi cao của đất.|看 哪 、 耶 和 華 出 了 他 的 居 所 、 降 臨 步 行 地 的 高 處 ．
Các núi sẽ tan chảy dưới Ngài, các trũng sẽ chia xé; như sáp ở trước lửa, như nước chảy xuống dốc.|眾 山 在 他 以 下 必 消 化 、 諸 谷 必 崩 裂 、 如 蠟 化 在 火 中 、 如 水 沖 下 山 坡 。
Cả sự đó là vì cớ sự phạm pháp của Gia-cốp, và vì cớ tội lỗi của nhà Y-sơ-ra-ên. Sự phạm pháp của Gia-cốp là gì? Há chẳng phải là Sa-ma-ri sao? Các nơi cao của Giu-đa là gì? Há chẳng phải là Giê-ru-sa-lem sao?|這 都 因 雅 各 的 罪 過 、 以 色 列 家 的 罪 惡 ． 雅 各 的 罪 過 在 哪 裡 呢 ． 豈 不 是 在 撒 瑪 利 亞 麼 ． 猶 大 的 邱 壇 在 哪 裡 呢 。 豈 不 是 在 耶 路 撒 冷 麼 ．
Vậy nên ta sẽ khiến Sa-ma-ri nên như một đống đổ nát ngoài đồng, như chỗ trồng nho; và sẽ làm cho những đá của nó lăn xuống trũng, và những nền ra trần trụi.|所 以 我 必 使 撒 瑪 利 亞 變 為 田 野 的 亂 堆 、 又 作 為 種 葡 萄 之 處 ． 也 必 將 他 的 石 頭 倒 在 谷 中 、 露 出 根 基 來 。
Hết thảy tượng chạm nó sẽ bị đập bể, hết thảy của hối lộ nó sẽ đốt trong lửa. Ta sẽ làm cho hết thảy thần tượng nó nên hoang vu; vì những đồ mà nó đã dồn chứa bởi tiền công của nghề điếm đĩ, thì nó sẽ dùng những đồ ấy làm tiền công cho đứa điếm đĩ.|他 一 切 雕 刻 的 偶 像 必 被 打 碎 。 他 所 得 的 財 物 必 被 火 燒 、 所 有 的 偶 像 我 必 毀 滅 ． 因 為 是 從 妓 女 雇 價 所 聚 來 的 、 後 必 歸 為 妓 女 的 雇 價 。
Vậy nên ta sẽ khóc lóc và thở than, cởi áo và đi trần truồng. Ta sẽ kêu gào như chó rừng, và rên siếc như chim đà.|先 知 說 、 因 此 我 必 大 聲 哀 號 、 赤 腳 露 體 而 行 ． 又 要 呼 號 如 野 狗 、 哀 鳴 如 駝 鳥 。
Vì vết thương của nó không thể chữa được; nó cũng lan ra đến Giu-đa, kịp đến cửa dân ta, tức là đến Giê-ru-sa-lem.|因 為 撒 瑪 利 亞 的 傷 痕 無 法 醫 治 、 延 及 猶 大 和 耶 路 撒 冷 我 民 的 城 門 。
Chớ rao tai nạn nầy ra trong Gát! Chớ khóc lóc chi hết! Tại Bết-Lê-Ap-ra, ta lăn-lóc trong bụi đất.|不 要 在 迦 特 報 告 這 事 、 總 不 要 哭 泣 ． 我 在 伯 亞 弗 拉 輥 於 灰 塵 之 中 。
Hỡi dân cư Sa-phi-rơ, hãy ở trần truồng, chịu xấu hổ mà qua đi! Dân cư Xa -a-nan không bước ra. Người Bết-Hê-xen khóc than, làm cho các ngươi mất chỗ đứng chơn.|沙 斐 的 居 民 哪 、 你 們 要 赤 身 蒙 羞 過 去 ． 撒 南 的 居 民 不 敢 出 來 。 伯 以 薛 人 的 哀 哭 、 使 你 們 無 處 可 站 。
Dân cư Ma-rốt lo lắng mà trông đợi phước lành, bởi tai vạ từ Đức Giê-hô-va sai xuống đã tới cửa Giê-ru-sa-lem.|瑪 律 的 居 民 、 心 甚 憂 急 、 切 望 得 好 處 、 因 為 災 禍 從 耶 和 華 那 裡 臨 到 耶 路 撒 冷 的 城 門 。
Hỡi dân cư La-ki, hãy lấy ngựa chạy mau thắng vào xe! Ay chính ngươi đã bắt đầu cho con gái Si-ôn phạm tội; vì tội ác của Y-sơ-ra-ên thấy trong ngươi.|拉 吉 的 居 民 哪 、 要 用 快 馬 套 車 ． 錫 安 民 〔 原 文 作 女 子 〕 的 罪 、 由 你 而 起 ． 以 色 列 人 的 罪 過 、 在 你 那 裡 顯 出 。
