
					Ha-ba-cúc 1				|
						哈巴谷書 1					
Nầy là gánh nặng mà đấng tiên tri Ha-ba-cúc đã xem thấy.|先 知 哈 巴 谷 所 得 的 默 示 。
Hỡi Đức Giê-hô-va! Tôi kêu van mà Ngài không nghe tôi cho đến chừng nào? Tôi vì sự bạo ngược kêu van cùng Ngài, mà Ngài chẳng khứng giải cứu tôi!|他 說 、 耶 和 華 阿 、 我 呼 求 你 、 你 不 應 允 、 要 到 幾 時 呢 ． 我 因 強 暴 哀 求 你 、 你 還 不 拯 救 。
Nhơn sao Chúa khiến tôi thấy sự gian ác, và Ngài nhìn xem sự ngang trái? Sự tàn hại bạo ngược ở trước mặt tôi; sự tranh đấu cãi lẫy dấy lên.|你 為 何 使 我 看 見 罪 孽 ． 你 為 何 看 著 奸 惡 而 不 理 呢 ． 毀 滅 和 強 暴 在 我 面 前 ． 鬥 又 起 了 爭 端 和 相 鬥 的 事 。
Vậy nên luật pháp không quyền, sự chánh trực không hề tỏ ra. Kẻ hung ác vây chung quanh ngươi công bình, vì cớ đó sự xét đoán ra trái ngược.|因 此 律 法 放 鬆 、 公 理 也 不 顯 明 ． 惡 人 圍 困 義 人 ． 所 以 公 理 顯 然 顛 倒 。
Hãy nhìn trong các nước và xem, hãy lấy làm lạ và sững sờ! Vì ta đang làm ra trong ngày các ngươi một việc, mà dầu có ai thuật lại cho ngươi, các ngươi cũng không tin.|耶 和 華 說 、 你 們 要 向 列 國 中 觀 看 、 大 大 驚 奇 ． 因 為 在 你 們 的 時 候 、 我 行 一 件 事 、 雖 有 人 告 訴 你 們 、 你 們 總 是 不 信 。
Nầy, ta khiến người Canh-đê dấy lên, nó là một dân dữ tợn lung lăng, hay đi khắp đất được chiếm lấy những chỗ ở không thuộc về mình.|我 必 興 起 迦 勒 底 人 、 就 是 那 殘 忍 暴 躁 之 民 、 通 行 遍 地 、 佔 據 那 不 屬 自 己 的 住 處 。
Nó thật là đáng sợ và đáng ghê, oai nghi và sự phán xét của nó đều là từ nó mà đến.|他 威 武 可 畏 ． 判 斷 和 勢 力 、 都 任 意 發 出 。
Những ngựa nó nhặm lẹ hơn con beo, và hung hơn muông sói ban đêm. Những lính kỵ nó tràn khắp đây đó, những lính kỵ nó đến từ phương xa; chúng nó bay như chim ưng lẹ, nôn nả kiếm ăn.|他 的 馬 比 豹 更 快 、 比 晚 上 的 豺 狼 更 猛 ． 馬 兵 踴 躍 爭 先 、 都 從 遠 方 而 來 ． 他 們 飛 跑 如 鷹 抓 食 ．
Cả dân ấy đến đặng làm sự bạo ngược; chúng nó mạnh dạn đi thẳng tối, và dồn phu tù lại như cát.|都 為 行 強 暴 而 來 ． 定 住 臉 面 向 前 、 將 擄 掠 的 人 聚 集 、 多 如 塵 沙 。
Nó nhạo cười các vua, chế báng các quan trưởng, và chê cười mỗi đồn lũy: nó đắp lũy, rồi chiếm lấy.|他 們 譏 誚 君 王 、 笑 話 首 領 、 嗤 笑 一 切 保 障 、 築 壘 攻 取 。
Bấy giờ nó sẽ sấn tới như gió thổi qua; vì nó lấy sức mạnh mình là thần mình, nên phạm tội trọng.|他 以 自 己 的 勢 力 為 神 、 像 風 猛 然 掃 過 、 顯 為 有 罪 。
Hỡi Giê-hô-va, Đức Chúa Trời tôi, Đấng Thánh của tôi! Ngài há chẳng phải là từ đời đời vô cùng sao? Vậy chúng tôi sẽ không chết! Hỡi Đức Giê-hô-va, Ngài đã lập dân nầy đặng làm sự xét đoán của Ngài. Hỡi vầng Đá! Ngài đã đặt nó đặng làm sự sửa phạt!|耶 和 華 我 的 　 神 、 我 的 聖 者 阿 、 你 不 是 從 亙 古 而 有 麼 ． 我 們 必 不 致 死 。 耶 和 華 阿 、 你 派 定 他 為 要 刑 罰 人 ． 磐 石 阿 、 你 設 立 他 為 要 懲 治 人 。
Mắt Chúa thánh sạch chẳng nhìn sự dữ, chẳng có thể nhìn được sự trái ngược. Sao Ngài nhìn xem kẻ làm sự dối trá, khi kẻ dữ nuốt người công bình hơn nó, sao Ngài nín lặng đi?|你 眼 目 清 潔 不 看 邪 僻 、 不 看 奸 惡 ． 行 詭 詐 的 、 你 為 何 看 著 不 理 呢 ． 惡 人 吞 滅 比 自 己 公 義 的 、 你 為 何 靜 默 不 語 呢 ．
Sao Ngài khiến loài người như cá biển và như loài côn trùng vô chủ?|你 為 何 使 人 如 海 中 的 魚 、 又 如 沒 有 管 轄 的 爬 物 呢 。
Nó đã dùng lưỡi câu móc lấy cả, thâu góp trong chài mình, và nhóm lại trong lưới mình, vậy nên nó vui mừng và lấy làm thích.|他 用 鉤 鉤 住 、 用 網 捕 獲 、 用 拉 網 聚 集 他 們 ． 因 此 、 他 歡 喜 快 樂 ．
Vì cớ đó, nó dâng tế cho lưới, đốt hương cho chài, bởi chưng nó nhờ đó mà được phần béo tốt và của ăn dư dật.|就 向 網 獻 祭 、 向 網 燒 香 、 因 他 由 此 得 肥 美 的 分 、 和 富 裕 的 食 物 。
Có lẽ nào nó cứ đổ lưới mình ra đặng làm sự giết lát các dân không hề thôi sao?|他 豈 可 屢 次 倒 空 網 羅 、 將 列 國 的 人 時 常 殺 戮 、 毫 不 顧 惜 呢 。

					Ha-ba-cúc 2				|
						哈巴谷書 2					
Ta sẽ đứng nơi vọng canh, chôn chơn nơi đồn lũy, rình xem Ngài bảo ta điều gì, và ta trả lời thế nào về sự đối nại của ta.|我 要 站 在 守 望 所 、 立 在 望 樓 上 觀 看 、 看 耶 和 華 對 我 說 甚 麼 話 、 我 可 用 甚 麼 話 向 他 訴 冤 。 〔 向 他 訴 冤 或 作 回 答 所 疑 問 的 〕
Đức Giê-hô-va đáp lại cũng ta mà rằng: Ngươi khá chép lấy sự hiện thấy, và rõ rệt nó ra trên bảng, hầu cho người đương chạy đọc được.|他 對 我 說 、 將 這 默 示 明 明 的 寫 在 版 上 、 使 讀 的 人 容 易 讀 。 〔 或 作 隨 跑 隨 讀 〕
Vì sự hiện thấy còn phải ứng nghiệm trong kỳ nhứt định, sau cùng nó sẽ kíp đến, không phỉnh dối đâu; nếu nó chậm trễ, ngươi hãy đợi; bởi nó chắc sẽ đến, không chậm trễ.|因 為 這 默 示 有 一 定 的 日 期 、 快 要 應 驗 、 並 不 虛 謊 ． 雖 然 遲 延 、 還 要 等 候 ． 因 為 必 然 臨 到 、 不 再 遲 延 。
Nầy, lòng người kiêu ngạo, không có sự ngay thẳng trong nó; song người công bình thì sống bởi đức tin mình.|迦 勒 底 人 自 高 自 大 、 心 不 正 直 ． 惟 義 人 因 信 得 生 。
Nó ghiền rượu, làm sự dối trá, kiêu ngạo và chẳng ở yên chỗ mình, mở rộng lòng ham mê nó như âm phủ, như sự chết chẳng được no chán; nó thâu góp mọi nước và hội hiệp mọi dân cho mình.|迦 勒 底 人 因 酒 詭 詐 、 狂 傲 、 不 住 在 家 中 、 擴 充 心 欲 好 像 陰 間 ． 他 如 死 不 能 知 足 、 聚 集 萬 國 、 堆 積 萬 民 、 都 歸 自 己 。
Chớ thì những kẻ đó há chẳng lấy thí dụ nhạo cười nó, lấy lời kín biếm nhẻ nó mà rằng: Khốn thay cho kẻ nhóm góp của chẳng thuộc về mình! Nó gánh vác của cầm rất nặng cho đến chừng nào?|這 些 國 的 民 、 豈 不 都 要 題 起 詩 歌 、 並 俗 語 、 譏 刺 他 、 說 、 禍 哉 迦 勒 底 人 、 你 增 添 不 屬 自 己 的 財 物 、 多 多 取 人 的 當 頭 、 要 到 幾 時 為 止 呢 。
Há chẳng sẽ có kẻ vụt dấy lên đặng cắn ngươi sao? Kẻ đuổi bắt ngươi há chẳng tỉnh thức sao? Ngươi sẽ bị nó cướp bóc.|咬 傷 你 的 豈 不 忽 然 起 來 、 擾 害 你 的 豈 不 興 起 、 你 就 作 他 們 的 擄 物 麼 。
Vì ngươi đã cướp nhiều nước, thì cả phần sót lại của các dân sẽ cướp ngươi, vì cớ huyết người ta, vì sự bạo ngược làm ra cho đất, cho thành, và cho hết thảy dân cư nó.|因 你 搶 奪 許 多 的 國 、 殺 人 流 血 、 向 國 內 的 城 、 並 城 中 一 切 居 民 施 行 強 暴 、 所 以 各 國 剩 下 的 民 都 必 搶 奪 你 。
Khốn thay cho kẻ tìm lợi bất nghĩa cho nhà mình, để lót ổ mình trong nơi cao, để được cứu khỏi tay hung ác.|為 本 家 積 蓄 不 義 之 財 、 在 高 處 搭 窩 、 指 望 免 災 的 有 禍 了 。
Ngươi đã dùng mưu xấu hổ cho nhà mình mà diệt nhiều dân tộc, ngươi đã phạm tội nghịch cùng linh hồn ngươi.|你 圖 謀 剪 除 多 國 的 民 、 犯 了 罪 、 使 你 的 家 蒙 羞 、 自 害 己 命 。
Vì đá trong vách sẽ kêu lên, rường trên mái sẽ đáp lại.|牆 裡 的 石 頭 必 呼 叫 、 房 內 的 棟 梁 必 應 聲 。
Khốn thay cho kẻ lấy huyết dựng ấp, và lấy sự gian ác xây thành!|以 人 血 建 城 、 以 罪 孽 立 邑 的 有 禍 了 。
Phải, ấy há chẳng phải bởi Đức Giê-hô-va vạn quân mà các dân làm việc cho lửa, và các nước nhọc nhằn cho sự hư không hay sao?|眾 民 所 勞 碌 得 來 的 、 被 火 焚 燒 、 列 國 由 勞 乏 而 得 的 、 歸 於 虛 空 、 不 都 是 出 於 萬 軍 之 耶 和 華 麼 。
Vì sự nhận biết vinh quang Đức Giê-hô-va sẽ đầy dẫy khắp đất như nước đầy tràn biển.|認 識 耶 和 華 榮 耀 的 知 識 、 要 充 滿 遍 地 、 好 像 水 充 滿 洋 海 一 般 。
Khốn thay cho kẻ pha đồ độc cho người lân cận mình uống, làm cho nó say, đặng xem sự lõa lồ nó!|給 人 酒 喝 、 又 加 上 毒 物 、 使 他 喝 醉 、 好 看 見 他 下 體 的 、 有 禍 了 。
Ngươi đầy sự sỉ nhục mà chẳng đầy sự vinh hiển. Ngươi cũng hãy uống đi, và làm như người chưa chịu phép cắt bì. Chén của Đức Giê-hô-va cầm trong tay hữu sẽ đến phiên trao cho ngươi, và sự nhuốc nha sẽ đổ ra trên sự vinh hiển ngươi.|你 滿 受 羞 辱 、 不 得 榮 耀 ． 你 也 喝 罷 、 顯 出 是 未 受 割 禮 的 ． 耶 和 華 右 手 的 杯 、 必 傳 到 你 那 裡 、 你 的 榮 耀 、 就 變 為 大 大 地 羞 辱 。
Vì sự bạo ngược đã làm ra cho Li-ban sẽ che phủ ngươi, và sự tàn hại các loài thú làm cho nó kinh sợ, lại vì cớ huyết người ta, vì sự bạo ngược làm ra cho đất, cho thành, và cho hết thảy dân cư nó.|你 向 利 巴 嫩 行 強 暴 、 與 殘 害 驚 嚇 野 獸 的 事 、 必 遮 蓋 你 ． 因 你 殺 人 流 血 、 向 國 內 的 城 、 並 城 中 一 切 居 民 施 行 強 暴 。
Tượng chạm mà thợ đã chạm ra, có ích gì cho nó chăng? Tượng đúc, là thầy giả dối, thi có ích gì, mà người thợ làm thần tượng câm ấy lại tin cậy nơi việc mình làm ra?|雕 刻 的 偶 像 、 人 將 他 刻 出 來 、 有 甚 麼 益 處 呢 ． 鑄 造 的 偶 像 、 就 是 虛 謊 的 師 傅 ． 製 造 者 倚 靠 這 啞 巴 偶 像 、 有 甚 麼 益 處 呢 ．
