
					Ha-gai 1				|
						哈該書 1					
Năm thứ hai đời vua Đa-ri-út, ngày mồng một tháng sáu, có lời của Đức Giê-hô-va cậy đấng tiên tri A-ghê phán cho Xô-rô-ba-bên, con trai Sa-la-thi-ên, quan trấn thủ xứ Giu-đê, và cho Giê-hô-sua, con trai Giô-xa-đác, thầy tế lễ cả, mà rằng:|大 利 烏 王 第 二 年 、 六 月 初 一 日 、 耶 和 華 的 話 藉 先 知 哈 該 、 向 猶 大 省 長 撒 拉 鐵 的 兒 子 所 羅 巴 伯 、 和 約 撒 答 的 兒 子 大 祭 司 約 書 亞 說 、
Đức Giê-hô-va vạn quân có phán như vầy: Dân nầy nói rằng: Thì giờ chưa đến, tức là thì giờ xây lại nhà Đức Giê-hô-va.|萬 軍 之 耶 和 華 如 此 說 、 這 百 姓 說 、 建 造 耶 和 華 殿 的 時 候 尚 未 來 到 。
Vậy nên có lời của Đức Giê-hô-va phán ra bởi đấng tiên tri A-ghê rằng:|那 時 耶 和 華 的 話 臨 到 先 知 哈 該 說 、
Nay có phải là thì giờ các ngươi ở trong nhà có trần ván, khi nhà nầy hoang vu sao?|這 殿 仍 然 荒 涼 、 你 們 自 己 還 住 天 花 板 的 房 屋 麼 ．
Vậy bây giờ Đức Giê-hô-va vạn quân phán như vầy: Các ngươi khá xem xét đường lối mình.|現 在 萬 軍 之 耶 和 華 如 此 說 、 你 們 要 省 察 自 己 的 行 為 。
Các ngươi gieo nhiều mà gặt ít; ăn mà không no; uống mà không đủ; mặc mà không ấm; và kẻ nào làm thuê, đựng tiền công mình trong túi lủng.|你 們 撒 的 種 多 、 收 的 卻 少 ． 你 們 喫 、 卻 不 得 飽 、 喝 、 卻 不 得 足 、 穿 衣 服 、 卻 不 得 暖 ． 得 工 錢 的 、 將 工 錢 裝 在 破 漏 的 囊 中 。
Đức Giê-hô-va vạn quân phán như vầy: Các ngươi khá xem xét đường lối mình.|萬 軍 之 耶 和 華 如 此 說 、 你 們 要 省 察 自 己 的 行 為 。
Hãy lên núi, đem gỗ về, và xây nhà nầy, thì ta sẽ lấy nó làm vui lòng, và ta sẽ được sáng danh, Đức Giê-hô-va phán vậy.|你 們 要 上 山 取 木 料 、 建 造 這 殿 ． 我 就 因 此 喜 樂 、 且 得 榮 耀 ． 這 是 耶 和 華 說 的 。
Các ngươi trông nhiều mà được ít; các ngươi đem vào nhà, thì ta đã thổi lên trên. Đức Giê-hô-va vạn quân phán: Ay là tại làm sao? Ay là tại nhà ta thì hoang vu, mà các ngươi ai nấy lo xây nhà mình.|你 們 盼 望 多 得 、 所 得 的 卻 少 ． 你 們 收 到 家 中 、 我 就 吹 去 ． 這 是 為 甚 麼 呢 、 因 為 我 的 殿 荒 涼 、 你 們 各 人 卻 顧 自 己 的 房 屋 ． 〔 原 文 作 奔 〕 這 是 萬 軍 之 耶 和 華 說 的 。
Cho nên, vì cớ các ngươi, trời giữ móc lại, và đất giữ bông trái lại.|所 以 為 你 們 的 緣 故 、 天 就 不 降 甘 露 、 地 也 不 出 土 產 。
Ta đã gọi cơn hạn hán đến trên đất, trên các núi, trên lúa mì, trên rượu mới, trên dầu, và trên sản vật đất sanh ra, trên loài người, trên loài vật, và trên mọi việc tay làm.|我 命 乾 旱 臨 到 地 土 、 山 岡 、 五 榖 、 新 酒 、 和 油 、 並 地 上 的 出 產 、 人 民 、 牲 畜 、 以 及 人 手 一 切 勞 碌 得 來 的 。
Vậy Xô-rô-ba-bên, con trai Sa-la-thi-ên, và Giê-hô-sua, con trai Giô-xa-đác, thầy tế lễ cả, cùng cả dân sót lại vâng theo tiếng của Giê-hô-va Đức Chúa Trời mình, và lời của đấng tiên tri A-ghê mà Giê-hô-va Đức Chúa Trời mình đã sai đến, thì dân sự đều sợ sệt trước mặt Đức Giê-hô-va.|那 時 、 撒 拉 鐵 的 兒 子 所 羅 巴 伯 和 約 撒 答 的 兒 子 大 祭 司 約 書 亞 、 並 剩 下 的 百 姓 、 都 聽 從 耶 和 華 他 們 　 神 的 話 和 先 知 哈 該 奉 耶 和 華 他 們 　 神 差 來 所 說 的 話 ． 百 姓 也 在 耶 和 華 面 前 存 敬 畏 的 心 。
A-ghê, sứ giả của Đức Giê-hô-va bèn nói cùng dân sự theo lịnh truyền của Đức Giê-hô-va, mà rằng: Ta ở cùng các ngươi, Đức Giê-hô-va phán vậy.|耶 和 華 的 使 者 哈 該 奉 耶 和 華 差 遣 對 百 姓 說 、 耶 和 華 說 、 我 與 你 們 同 在 。
Đoạn, Đức Giê-hô-va giục lòng Xô-rô-ba-bên, con trai Sa-la-thi-ên, quan trấn thủ Giu-đa, và giục lòng Giê-hô-sua, con trai Giô-xa-đác, thầy tế lễ cả, và giục lòng cả dân sự sót lại; họ đều đến, làm việc nơi nhà Đức Giê-hô-va vạn quân, là Đức Chúa Trời mình.|耶 和 華 激 動 猶 大 省 長 撒 拉 鐵 的 兒 子 所 羅 巴 伯 、 和 約 撒 答 的 兒 子 大 祭 司 約 書 亞 、 並 剩 下 之 百 姓 的 心 ． 他 們 就 來 為 萬 軍 之 耶 和 華 他 們 　 神 的 殿 作 工 。
Ay là ngày hai mươi bốn tháng sáu về năm thứ hai đời vua Đa-ri-út.|這 是 在 大 利 烏 王 第 二 年 、 六 月 二 十 四 日 。

					Ha-gai 2				|
						哈該書 2					
Ngày hai mươi mốt tháng bảy có lời của Đức Giê-hô-va phán ra bởi đấng tiên tri A-ghê mà rằng:|七 月 二 十 一 日 、 耶 和 華 的 話 臨 到 先 知 哈 該 說 、
Bây giờ hãy nói cùng Xô-rô-ba-bên, con trai Sa-la-thi-ên, quan trấn thủ Giu-đa, và Giê-hô-sua, con trai Giô-xa-đác, thầy tế lễ cả, và dân sự sót lại, bảo chúng nó rằng:|你 要 曉 諭 猶 大 省 長 撒 拉 鐵 的 兒 子 所 羅 巴 伯 和 約 撒 答 的 兒 子 大 祭 司 約 書 亞 、 並 剩 下 的 百 姓 、 說 、
Ai là kẻ còn sót lại ở trong các ngươi đã xem thấy vinh quang khi trước của nhà nầy? và bây giờ các ngươi xem nó ra làm sao? Nó ở trên mắt các ngươi, há chẳng phải như là hư không sao?|你 們 中 間 存 留 的 、 有 誰 見 過 這 殿 從 前 的 榮 耀 呢 ． 現 在 你 們 看 著 如 何 ． 豈 不 在 眼 中 看 如 無 有 麼 。
Vậy bây giờ, Đức Giê-hô-va phán: Hỡi Xô-rô-ba-bên, ngươi khá can đảm; còn ngươi, Giê-hô-sua, con trai Giô-xa-đác, thầy tế lễ cả, cũng khá can đảm, và hãy làm việc; vì ta ở cùng các ngươi, Đức Giê-hô-va vạn quân phán vậy.|耶 和 華 說 、 所 羅 巴 伯 阿 、 雖 然 如 此 、 你 當 剛 強 ． 約 撒 答 的 兒 子 大 祭 司 約 書 亞 阿 、 你 也 當 剛 強 ． 這 地 的 百 姓 、 你 們 都 當 剛 強 作 工 、 因 為 我 與 你 們 同 在 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Lời giao ước mà ta lập với các ngươi khi các ngươi ra khỏi Ê-díp-tô cùng Thần ta ở giữa các ngươi: chớ sợ hãi.|這 是 照 著 你 們 出 埃 及 我 與 你 們 立 約 的 話 ． 那 時 、 我 的 靈 住 在 你 們 中 間 ． 你 們 不 要 懼 怕 。
Vì Đức Giê-hô-va vạn quân phán như vầy: Còn một lần, khỏi ít lâu nữa, ta sẽ lam rúng động các từng trời và đất, biển và đất khô.|萬 軍 之 耶 和 華 如 此 說 、 過 不 多 時 我 必 再 一 次 震 動 天 地 、 滄 海 、 與 旱 地 ．
Ta cũng làm rúng động hết thảy các nước hầu đến; rồi ta sẽ làm cho vinh quang đầy dẫy nhà nầy, Đức Giê-hô-va vạn quân phán vậy.|我 必 震 動 萬 國 ． 萬 國 的 珍 寶 、 必 都 運 來 ． 〔 或 作 萬 國 所 羨 慕 的 必 來 到 〕 我 就 使 這 殿 滿 了 榮 耀 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Bạc là của ta, vàng là của ta, Đức Giê-hô-va vạn quân phán vậy.|萬 軍 之 耶 和 華 說 、 銀 子 是 我 的 、 金 子 也 是 我 的 。
Vinh quang sau rốt của nhà nầy sẽ lớn hơn vinh quang trước, Đức Giê-hô-va vạn quân phán vậy; và ta sẽ ban sự bình an trong chốn nầy, Đức Giê-hô-va vạn quân phán vậy.|這 殿 後 來 的 榮 耀 、 必 大 過 先 前 的 榮 耀 ． 在 這 地 方 我 必 賜 平 安 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Ngày hai mươi bốn tháng chín về năm thứ hai của Đa-ri-út, có lời của Đức Giê-hô-va phán ra bởi đấng tiên tri A-ghê, mà rằng:|大 利 烏 王 第 二 年 、 九 月 二 十 四 日 、 耶 和 華 的 話 臨 到 先 知 哈 該 說 、
Đức Giê-hô-va vạn quân phán như vầy: Bây giờ hãy hỏi các thầy tế lễ về luật pháp rằng:|萬 軍 之 耶 和 華 如 此 說 、 你 要 向 祭 司 問 律 法 、
Nếu có kẻ gói thịt thánh trong chéo áo, và chéo áo mình đụng đến bánh, hoặc vật gì nấu chín, hoặc rượu, hoặc dầu, hay là đồ ăn gì, thì vậy đó có nên thánh không? Các thầy tế lễ đều đáp rằng: Không.|說 、 若 有 人 用 衣 襟 兜 聖 肉 、 這 衣 襟 挨 著 餅 、 或 湯 、 或 酒 、 或 油 、 或 別 的 食 物 、 便 算 為 聖 麼 ． 祭 司 說 、 不 算 為 聖 。
A-ghê lại rằng: Nếu ai bị ô uế vì thây chết đụng đến các vật ấy, thì các vật ấy có lây ô uế không? Các thầy tế lễ trả lời rằng: Các vật ấy sẽ bị ô uế.|哈 該 又 說 、 若 有 人 因 摸 死 屍 染 了 污 穢 、 然 後 挨 著 這 些 物 的 那 一 樣 、 這 物 算 污 穢 麼 ． 祭 司 說 、 必 算 污 穢 。
