
					Xê-ca-ri-a 1				|
						撒迦利亞書 1					
Tháng tám năm thứ hai Đa-ri-út, có lời của Đức Giê-hô-va phán cùng đấng tiên tri Xa-cha-ri, con trai Ba-ra-chi, cháu, Y-đô, mà rằng:|大 利 烏 王 第 二 年 八 月 、 耶 和 華 的 話 臨 到 易 多 的 孫 子 比 利 家 的 兒 子 先 知 撒 迦 利 亞 、 說 、
Đức Giê-hô-va đã rất không bằng lòng tổ phụ các ngươi.|耶 和 華 曾 向 你 們 列 祖 大 大 發 怒 。
Vậy khá nói cùng chúng rằng: Đức Giê-hô-va vạn quân phán như vầy: Hãy trở lại cùng ta, Đức Giê-hô-va vạn quân phán, thì ta sẽ trở lại cùng các ngươi, Đức Giê-hô-va vạn quân phán vậy.|所 以 你 要 對 以 色 列 人 說 、 萬 軍 之 耶 和 華 如 此 說 、 你 們 要 轉 向 我 、 我 就 轉 向 你 們 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Chớ như tổ phụ các ngươi, các tiên tri xưa kia đã kêu họ mà rằng: Đức Giê-hô-va vạn quân phán như vầy: Bây giờ khá xây bỏ đường dữ và việc làm dữ của các ngươi; nhưng họ chẳng nghe, chẳng hề để ý nghe ta, Đức Giê-hô-va phán vậy.|不 要 效 法 你 們 列 祖 ． 從 前 的 先 知 呼 叫 他 們 說 、 萬 軍 之 耶 和 華 如 此 說 、 你 們 要 回 頭 離 開 你 們 的 惡 道 惡 行 。 他 們 卻 不 聽 、 也 不 順 從 我 ． 這 是 耶 和 華 說 的 。
Chớ nào tổ phụ các ngươi ở đâu? Và những tiên tri ấy có sống đời đời chăng?|你 們 的 列 祖 在 那 裡 呢 ． 那 些 先 知 能 永 遠 存 活 麼 ．
Song những lời phán và lề luật ta đã truyền cho tôi tớ ta là các đấng tiên tri, há chẳng kịp đến tổ phụ các ngươi sao? Nên họ đã trở lại và nói rằng: Mọi điều mà Đức Giê-hô-va vạn quân đã định làm cho chúng ta theo như đường lối và việc làm của chúng ta, thì đã làm cho chúng ta như vậy.|只 是 我 的 言 語 和 律 例 、 就 是 所 吩 咐 我 僕 人 眾 先 知 的 、 豈 不 臨 到 你 們 列 祖 麼 ． 他 們 就 回 頭 、 說 、 萬 軍 之 耶 和 華 定 意 按 我 們 的 行 動 作 為 向 我 們 怎 樣 行 、 他 已 照 樣 行 了 。
Ngày hai mươi bốn tháng mười một, là tháng Sê-bát, trong năm thứ hai Đa-ri-út, có lời của Đức Giê-hô-va phán cho đấng tiên tri Xa-cha-ri, con trai Ba-ra-chi, cháu Y-đô, như vầy:|大 利 烏 第 二 年 十 一 月 、 就 是 細 罷 特 月 、 二 十 四 日 、 耶 和 華 的 話 臨 到 易 多 的 孫 子 比 利 家 的 兒 子 先 知 撒 迦 利 亞 、 說 、
Ta thấy trong ban đêm: nầy, có một người cỡi ngựa hồng đứng trong những cây sim ở nơi thấp, và đằng sau người co những ngựa hồng, ngựa xám, ngựa trắng.|我 夜 間 觀 看 、 見 一 人 騎 著 紅 馬 、 站 在 窪 地 番 石 榴 樹 中 間 ． 在 他 身 後 、 又 有 紅 馬 、 黃 馬 、 和 白 馬 。
Ta nói rằng: Hỡi chúa tôi, những ngựa ấy nghĩa là gì? thì thiên sứ nói cùng ta, bảo ta rằng: Ta sẽ chỉ cho ngươi những ngựa nầy nghĩa là gì.|我 對 與 我 說 話 的 天 使 說 、 主 阿 、 這 是 甚 麼 意 思 ． 他 說 、 我 要 指 示 你 這 是 甚 麼 意 思 。
Người đứng trong những cây sim đáp rằng: Đây là những kẻ mà Đức Giê-hô-va sai đi lại trải qua đất.|那 站 在 番 石 榴 樹 中 間 的 人 說 、 這 是 奉 耶 和 華 差 遣 在 遍 地 走 來 走 去 的 。
Chúng nó bèn đáp lại cùng thiên sứ đứng trong những cây sim rằng: Chúng tôi đã đi lại trải qua đất; nầy, cả đất đều ở yên và im lặng.|那 些 騎 馬 的 、 對 站 在 番 石 榴 樹 中 間 耶 和 華 的 使 者 說 、 我 們 已 在 遍 地 走 來 走 去 、 見 全 地 都 安 息 平 靜 。
Bấy giờ thiên sứ của Đức Giê-hô-va đáp rằng: Hỡi Đức Giê-hô-va vạn quân! Ngài sẽ không thương xót Giê-ru-sa-lem và các thành của Giu-đa cho đến chừng nào, là những thành Ngài đã nổi giận nghịch cùng nó bảy mươi năm nay?|於 是 耶 和 華 的 使 者 說 、 萬 軍 之 耶 和 華 阿 、 你 惱 恨 耶 路 撒 冷 、 和 猶 大 的 城 邑 、 已 經 七 十 年 ． 你 不 施 憐 憫 要 到 幾 時 呢 。
Đức Giê-hô-va lấy những lời lành, những lời yên ủi đáp cùng thiên sứ đương nói với ta.|耶 和 華 就 用 美 善 的 安 慰 話 、 回 答 那 與 我 說 話 的 天 使 。
Đoạn, thiên sứ đương nói cùng ta, bảo ra rằng: Khá kêu lên va núi rằng: Đức Giê-hô-va vạn quân có phán: Ta vì Giê-ru-sa-lem và Si-ôn động lòng ghen quá lắm;|與 我 說 話 的 天 使 對 我 說 、 你 要 宣 告 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 為 耶 路 撒 冷 為 錫 安 、 心 裡 極 其 火 熱 。
và ta rất không đẹp lòng các dân tộc đương yên vui; vì ta hơi không bằng lòng, và chúng nó càng thêm sự khốn nạn.|我 甚 惱 怒 那 安 逸 的 列 國 ． 因 我 從 前 稍 微 惱 怒 我 民 、 他 們 就 加 害 過 分 。
