
					Lu-ca 1				|
						路加福音 1					
Hỡi Thê-ô-phi-lơ quí nhơn, vì có nhiều kẻ dốc lòng chép sử về những sự đã làm nên trong chúng ta,|提 阿 非 羅 大 人 哪 、 有 好 些 人 提 筆 作 書 、 述 說 在 我 們 中 間 所 成 就 的 事 、 是 照 傳 道 的 人 、 從 起 初 親 眼 看 見 、 又 傳 給 我 們 的 ．
theo như các người chứng kiến từ lúc ban đầu và trở nên người giảng đạo đã truyền lại cho chúng ta,|見 上 節
vậy, sau khi đã xét kỹ càng từ đầu mọi sự ấy, tôi cũng tưởng nên theo thứ tự viết mà tỏ ra cho ông,|這 些 事 我 既 從 起 頭 都 詳 細 考 察 了 、 就 定 意 要 按 著 次 序 寫 給 你 、
để ông biết những điều mình đã học là chắc chắn.|使 你 知 道 所 學 之 道 都 是 確 實 的 。
Trong đời Hê-rốt, vua nước Giu-đê, có một thầy tế lễ, về ban A-bi -a, tên là Xa-cha-ri; vợ người là Ê-li-sa-bét, thuộc về chi phái A-rôn.|當 猶 太 王 希 律 的 時 候 、 亞 比 雅 班 裡 有 一 個 祭 司 、 名 叫 撒 迦 利 亞 ． 他 妻 子 是 亞 倫 的 後 人 、 名 叫 以 利 沙 伯 。
Cả hai đều là công bình trước mặt Đức Chúa Trời, vâng giữ mọi điều răn và lễ nghi của Chúa một cách không chỗ trách được.|他 們 二 人 、 在 　 神 面 前 都 是 義 人 、 遵 行 主 的 一 切 誡 命 禮 儀 、 沒 有 可 指 摘 的 。
Hai người không có con, vì Ê-li-sa-bét son sẻ, và cả hai đều cao tuổi.|只 是 沒 有 孩 子 、 因 為 以 利 沙 伯 不 生 育 、 兩 個 人 又 年 紀 老 邁 了 。
Vả, Xa-cha-ri cứ theo thứ tự trong ban mình mà làm chức tế lễ trước mặt Đức Chúa Trời.|撒 迦 利 亞 按 班 次 、 在 　 神 面 前 供 祭 司 的 職 分 、
Khi đã bắt thăm theo lệ các thầy cả lập ra rồi, thì người được gọi vào nơi thánh của Chúa để dâng hương.|照 祭 司 的 規 矩 掣 籤 、 得 進 主 殿 燒 香 。
Đương giờ dâng hương, cả đoàn dân đông đều ở ngoài cầu nguyện.|燒 香 的 時 候 、 眾 百 姓 在 外 面 禱 告 。
Bấy giờ có một thiên sứ của Chúa hiện ra cùng Xa-cha-ri, đứng bên hữu bàn thờ xông hương.|有 主 的 使 者 站 在 香 壇 的 右 邊 、 向 他 顯 現 。
Xa-cha-ri thấy thì bối rối sợ hãi.|撒 迦 利 亞 看 見 、 就 驚 慌 害 怕 。
