
					I Cô-rinh-tô 1				|
						哥林多前書 1					
Phao-lô, theo ý Đức Chúa Trời, được gọi làm sứ đồ của Đức Chúa Jêsus Christ, cùng Sốt-then, anh em chúng tôi,|奉 　 神 旨 意 、 蒙 召 作 耶 穌 基 督 使 徒 的 保 羅 、 同 兄 弟 所 提 尼 、
gởi cho Hội thánh Đức Chúa Trời tại thành Cô-rinh-tô, tức là cho những người đã được nên thánh trong Đức Chúa Jêsus Christ, được gọi làm thánh đồ, lại cho mọi người bất luận nơi nào, cầu khẩn danh Đức Chúa Jêsus Christ chúng ta, là Chúa của những người ấy và của chúng ta:|寫 信 給 哥 林 多 　 神 的 教 會 、 就 是 在 基 督 耶 穌 裡 成 聖 、 蒙 召 作 聖 徒 的 、 以 及 所 有 在 各 處 求 告 我 主 耶 穌 基 督 之 名 的 人 ． 基 督 是 他 們 的 主 、 也 是 我 們 的 主 ．
nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Trời, Cha chúng ta, và bởi Đức Chúa Jêsus Christ!|願 恩 惠 平 安 、 從 　 神 我 們 的 父 、 並 主 耶 穌 基 督 、 歸 與 你 們 。
Tôi hằng vì anh em tạ ơn Đức Chúa Trời, bởi cớ anh em đã được Đức Chúa Trời ban ơn trong Đức Chúa Jêsus Christ;|我 常 為 你 們 感 謝 我 的 　 神 、 因 　 神 在 基 督 耶 穌 裡 所 賜 給 你 們 的 恩 惠 ．
vì chưng anh em đã được dư dật về mọi điều ban cho, cả lời nói và sự hiểu biết,|又 因 你 們 在 他 裡 面 凡 事 富 足 、 口 才 知 識 都 全 備 ．
như lời chứng về Đấng Christ đã được vững bền giữa anh em.|正 如 我 為 基 督 作 的 見 證 、 在 你 們 心 裡 得 以 堅 固 ．
Anh em đang trông đợi kỳ Đức Chúa Jêsus Christ chúng ta hiện đến, cũng chẳng thiếu một ơn nào.|以 致 你 們 在 恩 賜 上 沒 有 一 樣 不 及 人 的 ． 等 候 我 們 的 主 耶 穌 基 督 顯 現 ．
Ngài sẽ khiến anh em được vững bền đến cuối cùng, để khỏi bị quở trách trong ngày của Đức Chúa Jêsus Christ chúng ta.|他 也 必 堅 固 你 們 到 底 、 叫 你 們 在 我 們 主 耶 穌 基 督 的 日 子 、 無 可 責 備 。
Đức Chúa Trời là thành tín, Ngài đã gọi anh em được thông công với Con Ngài là Đức Chúa Jêsus Christ, Chúa chúng ta.|　 神 是 信 實 的 、 你 們 原 是 被 他 所 召 、 好 與 他 兒 子 、 我 們 的 主 耶 穌 基 督 、 一 同 得 分 。
Hỡi Anh em, tôi nhơn danh Đức Chúa Jêsus Christ chúng ta, khuyên anh em thảy đều phải đồng một tiếng nói với nhau, chớ phân rẽ nhau ra, nhưng phải hiệp một ý một lòng cùng nhau.|弟 兄 們 、 我 藉 我 們 主 耶 穌 基 督 的 名 、 勸 你 們 都 說 一 樣 的 話 ． 你 們 中 間 也 不 可 分 黨 ． 只 要 一 心 一 意 彼 此 相 合 。
Vì, hỡi anh em, bởi người nhà Cơ-lô-ê, tôi có được tin rằng trong anh em có sự tranh cạnh.|因 為 革 來 氏 家 裡 的 人 、 曾 對 我 題 起 弟 兄 們 來 、 說 你 們 中 間 有 分 爭 。
Tôi có ý nói rằng trong anh em mỗi người nói như vầy: Ta là môn đồ của Phao-lô; ta là của A-bô-lô, ta là của Sê-pha, ta là của Đấng Christ.|我 的 意 思 就 是 你 們 各 人 說 、 我 是 屬 保 羅 的 ． 我 是 屬 亞 波 羅 的 ． 我 是 屬 磯 法 的 ． 我 是 屬 基 督 的 。
Đấng Christ bị phân rẽ ra sao? Có phải Phao-lô đã chịu đóng đinh trên cây thập tự thế cho anh em, hay là anh em đã nhơn danh Phao-lô mà chịu phép báp tem sao?|基 督 是 分 開 的 麼 ． 保 羅 為 你 們 釘 了 十 字 架 麼 ． 你 們 是 奉 保 羅 的 名 受 了 洗 麼 。
Tôi tạ ơn Đức Chúa Trời, vì ngoài Cơ-rít-bu và Gai-út, tôi chưa từng làm phép báp tem cho ai trong anh em,|我 感 謝 　 神 、 除 了 基 利 司 布 並 該 猶 以 外 、 我 沒 有 給 你 們 一 個 人 施 洗 ．
hầu cho chẳng ai nói rằng anh em đã nhơn danh tôi mà chịu phép báp tem.|免 得 有 人 說 、 你 們 是 奉 我 的 名 受 洗 。
Tôi cũng đã làm phép báp tem cho người nhà Sê-pha-na; ngoài nhà đó, tôi chẳng biết mình đã làm phép báp tem cho ai nữa.|我 也 給 司 提 反 家 施 過 洗 ． 此 外 給 別 人 施 洗 沒 有 、 我 卻 記 不 清 。
Thật vậy, Đấng Christ đã sai tôi, chẳng phải để làm phép báp-tem đâu, nhưng để rao giảng Tin Lành, và chẳng dùng sự khôn khéo mà giảng, kẻo thập tự giá của Đấng Christ ra vô ích.|基 督 差 遣 我 、 原 不 是 為 施 洗 、 乃 是 為 傳 福 音 ． 並 不 用 智 慧 的 言 語 、 免 得 基 督 的 十 字 架 落 了 空 。
Bởi vì lời giảng về thập tự giá, thì những người hư mất cho là điên dại; song về phần chúng ta, là kẻ được cứu chuộc, thì cho là quyền phép của Đức Chúa Trời.|因 為 十 字 架 的 道 理 、 在 那 滅 亡 的 人 為 愚 拙 ． 在 我 們 得 救 的 人 卻 為 　 神 的 大 能 。
cũng có lời chép rằng: Ta sẽ hủy phá sự khôn ngoan của người khôn ngoan, Tiêu trừ sự thạo biết của người thạo biết.|就 如 經 上 所 記 、 『 我 要 滅 絕 智 慧 人 的 智 慧 、 廢 棄 聰 明 人 的 聰 明 。 』
Người khôn ngoan ở đâu? Thầy thông giáo ở đâu? Người biện luận đời nay ở đâu? Có phải Đức Chúa Trời đã làm cho sự khôn ngoan của thế gian ra dồ dại không?|智 慧 人 在 那 裡 ． 文 士 在 那 裡 ． 這 世 上 的 辯 士 在 那 裡 ． 　 神 豈 不 是 叫 這 世 上 的 智 慧 變 成 愚 拙 麼 。
Vì, tại thế gian cậy sự khôn ngoan mình, chẳng nhờ sự khôn ngoan Đức Chúa Trời mà nhận biết Đức Chúa Trời, nên Ngài đành lòng dùng sự giảng dồ dại của chúng ta mà cứu rỗi những người tin cậy.|世 人 憑 自 己 的 智 慧 、 既 不 認 識 　 神 、 　 神 就 樂 意 用 人 所 當 所 愚 拙 的 道 理 、 拯 救 那 些 信 的 人 ． 這 就 是 　 神 的 智 慧 了 。
Vả, đương khi người Giu-đa đòi phép lạ, người Gờ-réc tìm sự khôn ngoan,|猶 太 人 是 要 神 蹟 、 希 利 尼 人 是 求 智 慧 ．
thì chúng ta giảng Đấng Christ bị đóng đinh trên cây thập tự, là sự người Giu-đa lấy làm gương xấu, dân ngoại cho là dồ dại;|我 們 卻 是 傳 釘 十 字 架 的 基 督 、 在 猶 太 人 為 絆 腳 石 、 在 外 邦 人 為 愚 拙 、
song le, về những người được gọi, bất luận người Giu-đa hay người Gờ-réc, thì Đấng Christ là quyền phép của Đức Chúa Trời và sự khôn ngoan của Đức Chúa Trời.|但 在 那 蒙 召 的 、 無 論 是 猶 太 人 、 希 利 尼 人 、 基 督 總 為 　 神 的 能 力 、 　 神 的 智 慧 。
Bởi vì sự dồ dại của Đức Chúa Trời là khôn sáng hơn người ta, và sự yếu đuối của Đức Chúa Trời là mạnh hơn người ta.|因 　 神 的 愚 拙 總 比 人 智 慧 ． 　 神 的 軟 弱 總 比 人 強 壯 。
Hỡi Anh em, hãy suy xét rằng ở giữa anh em là kẻ đã được gọi, không có nhiều người khôn ngoan theo xác thịt, chẳng nhiều kẻ quyền thế, chẳng nhiều kẻ sang trọng.|弟 兄 們 哪 、 可 見 你 們 蒙 召 的 、 按 著 肉 體 有 智 慧 的 不 多 、 有 能 力 的 不 多 、 有 尊 貴 的 也 不 多 ．
Nhưng Đức Chúa Trời đã chọn những sự dại ở thế gian để làm hổ thẹn những sự mạnh;|　 神 卻 揀 選 了 世 上 愚 拙 的 、 叫 有 智 慧 的 羞 愧 ． 又 揀 選 了 世 上 軟 弱 的 、 叫 那 強 壯 的 羞 愧 ．
Đức Chúa Trời đã chọn những sự hèn hạ và khinh bỉ ở thế gian, cùng những sự không có, hầu cho làm những sự có ra không có,|　 神 也 揀 選 了 世 上 卑 賤 的 、 被 人 厭 惡 的 、 以 及 那 無 有 的 、 為 要 廢 掉 那 有 的 ．
để chẳng ai khoe mình trước một Đức Chúa Trời.|使 一 切 有 血 氣 的 、 在 　 神 面 前 一 個 也 不 能 自 誇 。
Vả, ấy là nhờ Ngài mà anh em ở trong Đức Chúa Jêsus Christ, là Đấng mà Đức Chúa Trời đã làm nên sự khôn ngoan, sự công bình, sự nên thánh, và sự cứu chuộc cho chúng ta;|但 你 們 得 在 基 督 耶 穌 裡 、 是 本 乎 　 神 、 　 神 又 使 他 成 為 我 們 的 智 慧 、 公 義 、 聖 潔 、 救 贖 ．
hầu cho, như có lời chép rằng: Ai khoe mình, hãy khoe mình trong Chúa.|如 經 上 所 記 、 『 誇 口 的 當 指 著 主 誇 口 。 』

					I Cô-rinh-tô 2				|
						哥林多前書 2					
Hỡi Anh em, về phần tôi, khi tôi đến cùng anh em, chẳng dùng lời cao xa hay là khôn sáng mà rao giảng cho anh em biết chứng cớ của Đức Chúa Trời.|弟 兄 們 、 從 前 我 到 你 們 那 裡 去 、 並 沒 有 用 高 言 大 智 對 你 們 宣 傳 　 神 的 奧 秘 。
Vì tôi đã đoán định rằng ở giữa anh em, tôi chẳng biết sự gì khác ngoài Đức Chúa Jêsus Christ, và Đức Chúa Jêsus Christ bị đóng đinh trên cây thập tự.|因 為 我 曾 定 了 主 意 、 在 你 們 中 間 不 知 道 別 的 、 只 知 道 耶 穌 基 督 、 並 他 釘 十 字 架 。
Chính tôi đã ở giữa anh em, bộ yếu đuối, sợ hãi, run rẩy lắm.|我 在 你 們 那 裡 、 又 軟 弱 、 又 懼 怕 、 又 甚 戰 兢 。
Lời nói và sự giảng của tôi chẳng phải bằng bài diễn thuyết khéo léo của sự khôn ngoan, nhưng tại sự tỏ ra Thánh Linh và quyền phép;|我 說 的 話 講 的 道 、 不 是 用 智 慧 委 婉 的 言 語 、 乃 是 用 聖 靈 和 大 能 的 明 證 ．
hầu cho anh em chớ lập đức tin mình trên sự khôn ngoan loài người, bèn là trên quyền phép Đức Chúa Trời.|叫 你 們 的 信 不 在 乎 人 的 智 慧 、 只 在 乎 　 神 的 大 能 。
Dầu vậy, chúng tôi giảng sự khôn ngoan cho những kẻ trọn vẹn, song chẳng phải sự khôn ngoan thuộc về đời nầy, cũng không phải của các người cai quản đời nầy, là kẻ sẽ bị hư mất.|然 而 在 完 全 的 人 中 、 我 們 也 講 智 慧 ． 但 不 是 這 世 上 的 智 慧 、 也 不 是 這 世 上 有 權 有 位 將 要 敗 亡 之 人 的 智 慧 ．
Chúng tôi giảng sự khôn ngoan của Đức Chúa Trời, là sự mầu nhiệm kín giấu, mà từ trước các đời, Đức Chúa Trời đã định sẵn cho sự vinh hiển chúng ta.|我 們 講 的 、 乃 是 從 前 所 隱 藏 、 　 神 奧 秘 的 智 慧 、 就 是 　 神 在 萬 世 以 前 、 豫 定 使 我 們 得 榮 耀 的 ．
Trong những người cai quản đời nầy chẳng ai từng biết sự đó; bởi chưng, nếu đã biết thì họ chẳng đóng đinh Chúa vinh hiển trên cây thập tự đâu.|這 智 慧 世 上 有 權 有 位 的 人 沒 有 一 個 知 道 的 ． 他 們 若 知 道 、 就 不 把 榮 耀 的 主 釘 在 十 字 架 上 了 ．
Song le, như có chép rằng: Ay là sự mắt chưa thấy, tai chưa nghe, Và lòng người chưa nghĩ đến, Nhưng Đức Chúa Trời đã sắm sẵn điều ấy cho những người yêu mến Ngài.|如 經 上 所 記 、 『 　 神 為 愛 他 的 人 所 豫 備 的 、 是 眼 睛 未 曾 看 見 、 耳 朵 未 曾 聽 見 、 人 心 也 未 曾 想 到 的 。 』
Đức Chúa Trời đã dùng Đức Thánh Linh để bày tỏ những sự đó cho chúng ta, vì Đức Thánh Linh dò xét mọi sự, cả đến sự sâu nhiệm của Đức Chúa Trời nữa.|只 有 　 神 藉 著 聖 靈 向 我 們 顯 明 了 ． 因 為 聖 靈 參 透 萬 事 、 就 是 　 神 深 奧 的 事 也 參 透 了 。
