
					Ê-phê-sô 1				|
						以弗所書 1					
Phao-lô, theo ý muốn Đức Chúa Trời, làm sứ đồ của Đức Chúa Jêsus Christ, gởi cho các thánh đồ ở thành Ê-phê-sô, cho những kẻ trung tín trong Đức Chúa Jêsus Christ:|奉 　 神 旨 意 、 作 基 督 耶 穌 使 徒 的 保 羅 、 寫 信 給 在 以 弗 所 的 聖 徒 、 就 是 在 基 督 耶 穌 裡 有 忠 心 的 人 ．
nguyền xin ân điển và sự bình an ban cho anh em từ nơi Đức Chúa Trời, Cha chúng ta, và từ nơi Đức Chúa Jêsus Christ!|願 恩 惠 平 安 、 從 　 神 我 們 的 父 、 和 主 耶 穌 基 督 、 歸 與 你 們 。
Ngợi khen Đức Chúa Trời, Cha Đức Chúa Jêsus Christ chúng ta, Ngài đã xuống phước cho chúng ta trong Đấng Christ đủ mọi thứ phước thiêng liêng ở các nơi trên trời,|願 頌 讚 歸 與 我 們 主 耶 穌 基 督 的 父 　 神 、 他 在 基 督 裡 、 曾 賜 給 我 們 天 上 各 樣 屬 靈 的 福 氣 ．
trước khi sáng thế, Ngài đã chọn chúng ta trong Đấng Christ, đặng làm nên thánh không chỗ trách được trước mặt Đức Chúa Trời,|就 如 　 神 從 創 立 世 界 以 前 、 在 基 督 裡 揀 選 了 我 們 、 使 我 們 在 他 面 前 成 為 聖 潔 、 無 有 瑕 疵 ．
bởi sự thương yêu của Ngài đã định trước cho chúng ta được trở nên con nuôi của Ngài bởi Đức Chúa Jêsus Christ, theo ý tốt của Ngài,|又 因 愛 我 們 、 就 按 著 自 己 意 旨 所 喜 悅 的 、 豫 定 我 們 、 藉 著 耶 穌 基 督 得 兒 子 的 名 分 、
để khen ngợi sự vinh hiển của ân điển Ngài đã ban cho chúng ta cách nhưng không trong Con yêu dấu của Ngài!|使 他 榮 耀 的 恩 典 得 著 稱 讚 ． 這 恩 典 是 他 在 愛 子 裡 所 賜 給 我 們 的 。
Ay là trong Đấng Christ, chúng ta được cứu chuộc bởi huyết Ngài, được tha tội, theo sự dư dật của ân điển Ngài,|我 們 藉 這 愛 子 的 血 、 得 蒙 救 贖 、 過 犯 得 以 赦 免 、 乃 是 照 他 豐 富 的 恩 典 ．
mà Ngài đã rải ra đầy dẫy trên chúng ta cùng với mọi thứ khôn ngoan thông sáng,|這 恩 典 是 　 神 用 諸 般 智 慧 聰 明 、 充 充 足 足 賞 給 我 們 的 、
khiến chúng ta biết sự mầu nhiệm của ý muốn Ngài, theo ý định mà Ngài đã tự lập thành trước trong lòng nhơn từ Ngài|都 是 照 他 自 己 所 豫 定 的 美 意 、 叫 我 們 知 道 他 旨 意 的 奧 秘 、
để làm sự định trước đó trong khi kỳ mãn, hội hiệp muôn vật lại trong Đấng Christ, cả vật ở trên trời và vật ở dưới đất.|要 照 所 安 排 的 、 在 日 期 滿 足 的 時 候 、 使 天 上 地 上 一 切 所 有 的 、 都 在 基 督 裡 面 同 歸 於 一 。
Ay cũng là trong Ngài mà chúng ta đã nên kẻ dự phần kế nghiệp, như đã định trước cho chúng ta được điều đó, theo mạng của Đấng làm mọi sự hiệp với ý quyết đoán,|我 們 也 在 他 裡 面 得 了 基 業 、 〔 得 或 作 成 〕 這 原 是 那 位 隨 己 意 行 作 萬 事 的 、 照 著 他 旨 意 所 豫 定 的 ．
hầu cho sự vinh hiển của Ngài nhờ chúng ta là kẻ đã trông cậy trong Đấng Christ trước nhứt mà được ngợi khen.|叫 他 的 榮 耀 、 從 我 們 這 首 先 在 基 督 裡 有 盼 望 的 人 、 可 以 得 著 稱 讚 。
Ay lại cũng trong Ngài mà anh em sau khi đã nghe đạo chơn thật, là đạo Tin Lành về sự cứu rỗi anh em, ấy là trong Ngài mà anh em đã tin và được ấn chứng bằng Đức Thánh Linh là Đấng Chúa đã hứa,|你 們 既 聽 見 真 理 的 道 、 就 是 那 叫 你 們 得 救 的 福 音 、 也 信 了 基 督 、 既 然 信 他 、 就 受 了 所 應 許 的 聖 靈 為 印 記 ．
Đấng ấy làm của cầm về cơ nghiệp chúng ta, cho đến kỳ chuộc lấy những kẻ mà Ngài đã được để khen ngợi sự vinh hiển Ngài.|這 聖 靈 、 是 我 們 得 基 業 的 憑 據 、 〔 原 文 作 質 〕 直 等 到 　 神 之 民 〔 民 原 文 作 產 業 〕 被 贖 、 使 他 的 榮 耀 得 著 稱 讚 。
Vậy nên, sau khi tôi có nghe đức tin anh em hướng về Đức Chúa Jêsus và tình yêu thương đối với các thánh đồ,|因 此 、 我 既 聽 見 你 們 信 從 主 耶 穌 、 親 愛 眾 聖 徒 、
thì tôi vì anh em cảm tạ không thôi, thường nhắc đến anh em trong khi cầu nguyện.|就 為 你 們 不 住 的 感 謝 　 神 、 禱 告 的 時 候 、 常 題 到 你 們 ．
Tôi cầu Đức Chúa Trời của Đức Chúa Jêsus Christ chúng ta, là Cha vinh hiển, ban thần trí của sự khôn sáng và của sự tỏ ra cho anh em, để nhận biết Ngài,|求 我 們 主 耶 穌 基 督 的 　 神 、 榮 耀 的 父 、 將 那 賜 人 智 慧 和 啟 示 的 靈 、 賞 給 你 們 、 使 你 們 真 知 道 他 ．
lại soi sáng con mắt của lòng anh em, hầu cho biết điều trông cậy về sự kêu gọi của Ngài là thể nào, sự giàu có của cơ nghiệp vinh hiển Ngài cho các thánh đồ là làm sao,|並 且 照 明 你 們 心 中 的 眼 睛 、 使 你 們 知 道 他 的 恩 召 有 何 等 指 望 ． 他 在 聖 徒 中 得 的 基 業 、 有 何 等 豐 盛 的 榮 耀 ．
và biết quyền vô hạn của Ngài, đối với chúng ta có lòng tin, là lớn dường nào, y theo phép tối thượng của năng lực mình,|並 知 道 他 向 我 們 這 信 的 人 所 顯 的 能 力 、 是 何 等 浩 大 、
mà Ngài đã tỏ ra trong Đấng Christ, khi khiến Đấng Christ từ kẻ chết sống lại và làm cho ngồi bên hữu mình tại các nơi trên trời,|就 是 照 他 在 基 督 身 上 、 所 運 行 的 大 能 大 力 、 使 他 從 死 裡 復 活 、 叫 他 在 天 上 坐 在 自 己 的 右 邊 、
cao hơn hết mọi quyền, mọi phép, mọi thế lực, mọi quân chủ cùng mọi danh vang ra, không những trong đời nầy, mà cũng trong đời hầu đến nữa.|遠 超 過 一 切 執 政 的 、 掌 權 的 、 有 能 的 、 主 治 的 、 和 一 切 有 名 的 ． 不 但 是 今 世 的 、 連 來 世 的 也 都 超 過 了 ．
Ngài đã bắt muôn vật phục dưới chơn Đấng Christ, và ban cho Đấng Christ làm đầu Hội thánh,|又 將 萬 有 服 在 他 的 腳 下 、 使 他 為 教 會 作 萬 有 之 首 ．
Hội thánh là thân thể của Đấng Christ, tức là sự đầy đủ của Đấng gồm tóm mọi sự trong mọi loài.|教 會 是 他 的 身 體 、 是 那 充 滿 萬 有 者 所 充 滿 的 。

					Ê-phê-sô 2				|
						以弗所書 2					
Còn anh em đã chết vì lầm lỗi và tội ác mình,|你 們 死 在 過 犯 罪 惡 之 中 、 他 叫 你 們 活 過 來 ．
đều là những sự anh em xưa đã học đòi, theo thói quen đời nầy, vâng phục vua cầm quyền chốn không trung tức là thần hiện đương hành động trong các con bạn nghịch.|那 時 、 你 們 在 其 中 行 事 為 人 隨 從 今 世 的 風 俗 、 順 服 空 中 掌 權 者 的 首 領 、 就 是 現 今 在 悖 逆 之 子 心 中 運 行 的 邪 靈 ．
