
					Phục Truyền Luật Lệ 1				|
						申命記 1					
Nầy là lời Môi-se nói cho cả Y-sơ-ra-ên, bên kia sông Giô-đanh, tại đồng vắng, trong đồng bằng, đối ngang Su-phơ, giữa khoảng Pha-ran và Tô-phên, La-ban, Hát-sê-rốt, và Đi-xa-háp.|以 下 所 記 的 、 是 摩 西 在 約 但 河 東 的 曠 野 、 疏 弗 對 面 的 亞 拉 巴 、 就 是 巴 蘭 、 陀 弗 、 拉 班 、 哈 洗 錄 、 底 撒 哈 中 間 、 向 以 色 列 眾 人 所 說 的 話 。
Từ Hô-rếp tới Ca-đe-Ba-nê -a, bởi đường núi Sê -i-rơ, đi mười một ngày đường.|從 何 烈 山 經 過 西 珥 山 、 到 加 低 斯 巴 尼 亞 、 有 十 一 天 的 路 程 。
Nhằm năm bốn mươi, ngày mồng một tháng mười một. Môi-se nói cùng dân Y-sơ-ra-ên mọi điều mà Đức Giê-hô-va đã biểu người phải nói cùng họ.|出 埃 及 第 四 十 年 十 一 月 初 一 日 、 摩 西 照 耶 和 華 藉 著 他 所 吩 咐 以 色 列 人 的 話 、 都 曉 諭 他 們 。
Ay là sau khi người đã đánh giết Si-hôn, vua dân A-mô-rít ở tại Hết-bôn, và Oc, vua Ba-san, ở tại Ach-ta-rốt và Et-rê -i.|那 時 、 他 已 經 擊 殺 了 住 希 實 本 的 亞 摩 利 王 西 宏 、 和 住 以 得 來 亞 斯 他 錄 的 巴 珊 王 噩 。
Tại bên kia sông Giô-đanh, trong xứ Mô-áp, Môi-se khởi giảng giải luật pháp nầy mà rằng:|摩 西 在 約 但 河 東 的 摩 押 地 、 講 律 法 說 、
Giê-hô-va Đức Chúa Trời chúng ta có phán cùng chúng ta tại Hô-rếp mà rằng: Các ngươi kiều ngụ trong núi nầy đã lâu quá;|耶 和 華 我 們 的 　 神 在 何 烈 山 曉 諭 我 們 說 、 你 們 在 這 山 上 住 的 日 子 彀 了 ．
hãy vòng lại và đi đến núi dân A-mô-rít, cùng đến các miền ở gần bên, tức là đến nơi đồng bằng, lên núi, vào xứ thấp, đến miền nam, lên mé biển, vào xứ dân Ca-na-an và Li-ban, cho đến sông lớn, là sông Ơ-phơ-rát.|要 起 行 轉 到 亞 摩 利 人 的 山 地 、 和 靠 近 這 山 地 的 各 處 、 就 是 亞 拉 巴 、 山 地 、 高 原 、 南 地 、 沿 海 一 帶 迦 南 人 的 地 、 並 利 巴 嫩 山 又 到 伯 拉 大 河 ．
Kìa, ta phó xứ nầy cho các ngươi! Hãy vào và chiếm lấy xứ mà Đức Giê-hô-va đã thề ban cho tổ phụ các ngươi, là Ap-ra-ham, Y-sác, Gia-cốp, cùng cho con cháu của họ.|如 今 我 將 這 地 擺 在 你 們 面 前 、 你 們 要 進 去 得 這 地 、 就 是 耶 和 華 向 你 們 列 祖 亞 伯 拉 罕 、 以 撒 、 雅 各 、 起 誓 應 許 賜 給 他 們 和 他 們 後 裔 為 業 之 地 。
Trong lúc đó ta có nói cùng các ngươi rằng: Một mình ta không đủ sức cai trị các ngươi.|那 時 拉 我 對 你 們 說 、 管 理 你 們 的 重 任 、 我 獨 自 擔 當 不 起 。
Giê-hô-va Đức Chúa Trời các ngươi đã gia thêm các ngươi, kìa ngày nay, các ngươi đông như sao trên trời.|耶 和 華 你 們 的 　 神 使 你 們 多 起 來 、 看 哪 、 你 們 今 日 像 天 上 的 星 那 樣 多 。
Nguyện Giê-hô-va Đức Chúa Trời của tổ phụ các ngươi khiến các ngươi thêm lên gấp ngàn lần và ban phước cho, y như Ngài đã phán cùng các ngươi.|惟 願 耶 和 華 你 們 列 祖 的 　 神 、 使 你 們 比 如 今 更 多 千 倍 、 照 他 所 應 許 你 們 的 話 、 賜 福 與 你 們 。
Một mình ta làm thế nào mang lấy trách nhiệm và gánh nặng về điều tranh tụng của các ngươi?|但 你 們 的 麻 煩 、 和 管 理 你 們 的 重 任 、 並 你 們 的 爭 訟 、 我 獨 自 一 人 怎 能 擔 當 得 起 呢 。
Hãy chọn trong mỗi chi phái các ngươi những người khôn ngoan, thông sáng, có tiếng, và ta sẽ lập họ lên làm quan trưởng các ngươi.|你 們 要 按 著 各 支 派 、 選 舉 有 智 慧 、 有 見 識 、 為 眾 人 所 認 識 的 、 我 立 他 們 為 你 們 的 首 領 。
Các ngươi có đáp rằng: Việc người toan làm thật tốt thay.|你 們 回 答 我 說 、 照 你 所 說 的 行 了 為 妙 。
Bấy giờ, ta chọn lấy những người quan trưởng của các chi phái, là những người khôn ngoan, có tiếng, lập lên làm quan tướng các ngươi, hoặc cai ngàn người, hoặc cai trăm người, hoặc cai năm mươi người, hoặc cai mười người, và làm quản lý trong những chi phái của các ngươi.|我 便 將 你 們 各 支 派 的 首 領 、 有 智 慧 為 眾 人 所 認 識 的 、 照 你 們 的 支 派 、 立 他 們 為 官 長 、 千 夫 長 、 百 夫 長 、 五 十 夫 長 、 十 夫 長 、 管 理 你 們 。
Trong lúc đó, ta ra lịnh cho những quan xét các ngươi rằng: Hãy nghe anh em các ngươi, và lấy công bình mà xét đoán sự tranh tụng của mỗi người với anh em mình, hay là với khách ngoại bang ở cùng người.|當 時 、 我 囑 咐 你 們 的 審 判 官 說 、 你 們 聽 訟 、 無 論 是 弟 兄 彼 此 爭 訟 、 是 與 同 居 的 外 人 爭 訟 、 都 要 按 公 義 判 斷 。
Trong việc xét đoán, các ngươi chớ tư vị ai; hãy nghe người hèn như nghe người sang, đừng có sợ ai, vì sự xét đoán thuộc về Đức Chúa Trời. Phàm việc nào lấy làm rất khó cho các ngươi, hãy đem đến trước mặt ta thì ta sẽ nghe cho.|審 判 的 時 候 、 不 可 看 人 的 外 貌 、 聽 訟 不 可 分 貴 賤 、 不 可 懼 怕 人 、 因 為 審 判 是 屬 乎 　 神 的 ． 若 有 難 斷 的 案 件 、 可 以 呈 到 我 這 裡 、 我 就 判 斷 。
Vậy, trong lúc đó, ta có truyền cho các ngươi mọi điều mình phải làm.|那 時 、 我 將 你 們 所 當 行 的 事 、 都 吩 咐 你 們 了 。
Đoạn, bỏ Hô-rếp, chúng ta trải ngang qua đồng vắng minh-mông và gớm ghê mà chúng ta thấy kia, hướng về núi dân A-mô-rít, y như Giê-hô-va Đức Chúa Trời chúng ta đã phán dặn; rồi chúng ta đến Ca-đe-Ba-nê -a.|我 們 照 著 耶 和 華 我 們 　 神 所 吩 咐 的 、 從 何 烈 山 起 行 、 經 過 你 們 所 看 見 那 大 而 可 怕 的 曠 野 、 往 亞 摩 利 人 的 山 地 去 、 到 了 加 低 斯 巴 尼 亞 。
Bấy giờ, ta nói cùng các ngươi rằng: Các ngươi đã đến núi của dân A-mô-rít mà Giê-hô-va Đức Chúa Trời chúng ta ban cho chúng ta.|我 對 你 們 說 、 你 們 已 經 到 了 耶 和 華 我 們 　 神 所 賜 給 我 們 的 亞 摩 利 人 之 山 地 。
Kìa, Giê-hô-va Đức Chúa Trời ngươi phó xứ nầy cho ngươi; hãy đi lên, chiếm làm sản nghiệp, y như Giê-hô-va Đức Chúa Trời của tổ phụ ngươi đã phán cùng ngươi; chớ ái ngại, chớ kinh khủng.|看 哪 、 耶 和 華 你 的 　 神 已 將 那 地 擺 在 你 面 前 、 你 要 照 耶 和 華 你 列 祖 的 　 神 所 說 的 上 去 得 那 地 為 業 ． 不 要 懼 怕 、 也 不 要 驚 惶 。
Các ngươi hết thảy bèn lại gần ta và nói rằng: Hãy sai những người đi trước chúng tôi, đặng do thám xứ và chỉ bảo về đường sá nào chúng tôi phải lên, và các thành chúng tôi phải vào.|你 們 都 就 近 我 來 說 、 我 們 要 先 打 發 人 去 、 為 我 們 窺 探 那 地 、 將 我 們 上 去 該 走 何 道 、 必 進 何 城 、 都 回 報 我 們 。
Lời nầy đẹp lòng ta; ta chọn mười hai người trong các ngươi, tức mỗi chi phái một người.|這 話 我 以 為 美 、 就 從 你 們 中 間 選 了 十 二 個 人 、 每 支 派 一 人 。
Mười hai người đó ra đi. lên núi, đi đến khe Ech-côn và do thám xứ.|於 是 他 們 起 身 上 山 地 去 、 到 以 實 各 谷 、 窺 探 那 地 。
Họ hái cầm trong tay mình những trái cây xứ đó, đem về cho chúng ta; thuật lại cùng chúng ta rằng: Xứ mà Giê-hô-va Đức Chúa Trời chúng ta ban cho thật là tốt.|他 們 手 裡 拿 著 那 地 的 果 子 下 來 、 到 我 們 那 裡 、 回 報 說 、 耶 和 華 我 們 的 　 神 所 賜 給 我 們 的 是 美 地 。
Nhưng các ngươi không muốn lên đó, và đã bội nghịch mạng của Giê-hô-va Đức Chúa Trời các ngươi,|你 們 卻 不 肯 上 去 、 竟 違 背 了 耶 和 華 你 們 　 神 的 命 令 ．
lằm bằm trong trại mình mà rằng: Ay bởi Đức Giê-hô-va ghét chúng ta, nên khiến chúng ta ra xứ Ê-díp-tô, đặng phó chúng ta vào tay dân A-mô-rít, để tiêu diệt đi.|在 帳 棚 內 發 怨 言 、 說 、 耶 和 華 因 為 恨 我 們 、 所 以 將 我 們 從 埃 及 地 領 出 來 、 要 交 在 亞 摩 利 人 手 中 、 除 滅 我 們 。
Chúng ta sẽ đi lên đâu? Anh em chúng ta làm cho chúng ta tiêu gan vì nói rằng: Ay là một dân đông hơn và cao lớn hơn chúng ta; ấy là những thành lớn và kiên cố đến tận trời; vả lại, tại đó, chúng tôi có thấy những con cháu của dân A-na-kim.|我 們 上 那 裡 去 呢 ． 我 們 的 弟 兄 使 我 們 的 心 消 化 、 說 、 那 地 的 民 比 我 們 又 大 又 高 、 城 邑 又 廣 大 又 堅 固 、 高 得 頂 天 、 並 且 我 們 在 那 裡 看 見 亞 衲 族 的 人 。
