
					Cô-lô-se 1				|
						歌羅西書 1					
Phao-lô, theo ý muốn Đức Chúa Trời, làm sứ đồ của Đức Chúa Jêsus Christ, cùng Ti-mô-thê là anh em,|奉 　 神 旨 意 、 作 基 督 耶 穌 使 徒 的 保 羅 、 和 兄 弟 提 摩 太 、
gởi cho các anh em chúng ta ở thành Cô-lô-se, là những người thánh và trung tín trong Đấng Christ: nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Trời, là Cha chúng ta!|寫 信 給 歌 羅 西 的 聖 徒 、 在 基 督 裡 有 忠 心 的 弟 兄 ． 願 恩 惠 平 安 、 從 　 神 我 們 的 父 、 歸 與 你 們 。
Trong khi chúng tôi cầu nguyện cho anh em không thôi, thì cảm tạ Đức Chúa Trời là Cha Đức Chúa Jêsus Christ chúng ta.|我 們 感 謝 　 神 我 們 主 耶 穌 基 督 的 父 、 常 常 為 你 們 禱 告 ．
Vì chúng tôi đã nghe về đức tin của anh em nơi Đức Chúa Jêsus Christ và về sự yêu thương của anh em đối với mọi thánh đồ,|因 聽 見 你 們 在 基 督 耶 穌 裡 的 信 心 、 並 向 眾 聖 徒 的 愛 心 ．
vì cớ sự trông cậy để dành cho anh em ở trên trời là sự trước kia anh em đã nhờ đạo Tin Lành chân thật mà biết đến.|是 為 那 給 你 們 存 在 天 上 的 盼 望 ． 這 盼 望 就 是 你 們 從 前 在 福 音 真 理 的 道 上 所 聽 見 的 ．
Đạo Tin Lành đó ở giữa anh em cũng như ở trong cả thế gian; lại kết quả và tấn bộ cũng như trong anh em, từ ngày mà anh em đã nghe rao truyền ơn Đức Chúa Trời và đã học cho thật biết ơn đó,|這 福 音 傳 到 你 們 那 裡 、 也 傳 到 普 天 之 下 、 並 且 結 果 增 長 、 如 同 在 你 們 中 間 、 自 從 你 們 聽 見 福 音 、 真 知 道 　 神 恩 惠 的 日 子 一 樣 ．
y như Ê-pháp-ra là bạn đồng sự thiết nghĩa với chúng tôi đã dạy anh em; người giúp đỡ chúng tôi như một kẻ giúp việc trung thành của Đấng Christ,|正 如 你 們 從 我 們 所 親 愛 、 一 同 作 僕 人 的 以 巴 弗 所 學 的 ． 他 為 我 們 〔 有 古 卷 作 你 們 〕 作 了 基 督 忠 心 的 執 事 ．
và đã tỏ ra cho chúng tôi biết lòng yêu thương mà anh em cảm chịu bởi Đức Thánh Linh.|也 把 你 們 因 聖 靈 所 存 的 愛 心 告 訴 了 我 們 。
Cho nên, chúng tôi cũng vậy, từ ngày nhận được tin đó, cứ cầu nguyện cho anh em không thôi, và xin Đức Chúa Trời ban cho anh em được đầy dẫy sự hiểu biết về ý muốn của Ngài, với mọi thứ khôn ngoan và hiểu biết thiêng liêng nữa,|因 此 、 我 們 自 從 聽 見 的 日 子 、 也 就 為 你 們 不 住 的 禱 告 祈 求 、 願 你 們 在 一 切 屬 靈 的 智 慧 悟 性 上 、 滿 心 知 道 　 神 的 旨 意 ．
hầu cho anh em ăn ở cách xứng đáng với Chúa, đặng đẹp lòng Ngài mọi đường, nẩy ra đủ các việc lành, càng thêm lên trong sự hiểu biết Đức Chúa Trời,|好 叫 你 們 行 事 為 人 對 得 起 主 、 凡 事 蒙 他 喜 悅 、 在 一 切 善 事 上 結 果 子 、 漸 漸 的 多 知 道 　 神 ．
nhờ quyền phép vinh hiển Ngài, được có sức mạnh mọi bề, để nhịn nhục vui vẻ mà chịu mọi sự.|照 他 榮 耀 的 權 能 、 得 以 在 各 樣 的 力 上 加 力 、 好 叫 你 們 凡 事 歡 歡 喜 喜 的 忍 耐 寬 容 ．
Hãy tạ ơn Đức Chúa Cha, Ngài đã khiến anh em có thể dự phần cơ nghiệp của các thánh trong sự sáng láng:|又 感 謝 父 、 叫 我 們 能 與 眾 聖 徒 在 光 明 中 同 得 基 業 ．
Ngài đã giải thoát chúng ta khỏi quyền của sự tối tăm, làm cho chúng ta dời qua nước của Con rất yêu dấu Ngài,|他 救 了 我 們 脫 離 黑 暗 的 權 勢 、 把 我 們 遷 到 他 愛 子 的 國 裡 ．
trong Con đó chúng ta có sự cứu chuộc, là sự tha tội.|我 們 在 愛 子 裡 得 蒙 救 贖 、 罪 過 得 以 赦 免 。
Ay chính Ngài là hình ảnh của Đức Chúa Trời không thấy được, và Đấng sanh ra đầu hết thảy mọi vật dựng nên.|愛 子 是 那 不 能 看 見 之 　 神 的 像 、 是 首 生 的 、 在 一 切 被 造 的 以 先 ．
Vì muôn vật đã được dựng nên trong Ngài, bất luận trên trời, dưới đất, vật thấy được, vật không thấy được, hoặc ngôi vua, hoặc quyền cai trị, hoặc chấp chánh, hoặc cầm quyền, đều là bởi Ngài và vì Ngài mà được dựng nên cả.|因 為 萬 有 都 是 靠 他 造 的 、 無 論 是 天 上 的 、 地 上 的 、 能 看 見 的 、 不 能 看 見 的 、 或 是 有 位 的 、 主 治 的 、 執 政 的 、 掌 權 的 、 一 概 都 是 藉 著 他 造 的 、 又 是 為 他 造 的 ．
Ngài có trước muôn vật, và muôn vật đứng vững trong Ngài.|他 在 萬 有 之 先 ． 萬 有 也 靠 他 而 立 。
Ay cũng chính Ngài là đầu của thân thể, tức là đầu Hội thánh. Ngài là ban đầu sanh trước nhứt từ trong những kẻ chết, hầu cho trong mọi vật, Ngài đứng đầu hàng.|他 也 是 教 會 全 體 的 之 首 ． 他 是 元 始 、 是 從 死 裡 首 先 復 生 的 、 使 他 可 以 在 凡 事 上 居 首 位 。
Vì chưng Đức Chúa Trời đã vui lòng khiến mọi sự đầy dẫy của mình chứa trong Ngài,|因 為 父 喜 歡 叫 一 切 的 豐 盛 、 在 他 裡 面 居 住 。
và bởi huyết Ngài trên thập tự giá, thì đã làm nên hòa bình, khiến muôn vật dưới đất trên trời đều nhờ Ngài mà hòa thuận cùng chính mình Đức Chúa Trời.|既 然 藉 著 他 在 十 字 架 上 所 流 的 血 、 成 就 了 和 平 、 便 藉 著 他 叫 萬 有 、 無 論 是 地 上 的 、 天 上 的 、 都 與 自 己 和 好 了 。
Còn anh em ngày trước vốn xa cách Đức Chúa Trời, và là thù nghịch cùng Ngài bởi ý tưởng và việc ác mình,|你 們 從 前 與 　 神 隔 絕 、 因 著 惡 行 、 心 裡 與 他 為 敵 ．
