
					I Thê-sa-lô-ni-ca 1				|
						帖撒羅尼迦前書 1					
Phao-lô, Sin-vanh và Ti-mô-thê gởi cho Hội-thánh ở thành Tê-sa-lô-ni-ca, Hội trong Đức Chúa Trời, là Cha, và trong Đức Chúa Jêsus Christ, Chúa chúng ta: nguyền xin ân điển và sự bình an ban cho anh em!|保 羅 、 西 拉 、 提 摩 太 、 寫 信 給 帖 撒 羅 尼 迦 在 父 　 神 和 主 耶 穌 基 督 裡 的 教 會 ． 願 恩 惠 平 安 歸 與 你 們 。
Chúng tôi hằng vì anh em tạ ơn Đức Chúa Trời, thường nhắc đến anh em trong khi cầu nguyện;|我 們 為 你 們 眾 人 常 常 感 謝 　 神 、 禱 告 的 時 候 題 到 你 們 ．
vì trước mặt Đức Chúa Trời, là Cha, chúng tôi nhớ mãi về công việc của đức tin anh em, công lao của lòng yêu thương anh em, sự bền đổ về sự trông cậy của anh em trong Đức Chúa Jêsus Christ chúng ta;|在 　 神 我 們 的 父 面 前 、 不 住 的 記 念 你 們 因 信 心 所 作 的 工 夫 、 因 愛 心 所 受 的 勞 苦 、 因 盼 望 我 們 主 耶 穌 基 督 所 存 的 忍 耐 。
hỡi anh em được Đức Chúa Trời yêu dấu, chúng tôi biết anh em là kẻ được lựa chọn.|被 　 神 所 愛 的 弟 兄 阿 、 我 知 道 你 們 是 蒙 揀 選 的 ．
Vả, đạo Tin Lành chúng tôi đã rao truyền cho anh em, không những bằng lời nói thôi, lại cũng bằng quyền phép, Đức Thánh Linh và sức mạnh của sự tin quyết nữa. Vì anh em biết rõ cách chúng tôi ở giữa anh em và lòng yêu thương đối với anh em là thể nào.|因 為 我 們 的 福 音 傳 到 你 們 那 裡 、 不 獨 在 乎 言 語 、 也 在 乎 權 能 、 和 聖 靈 、 並 充 足 的 信 心 ． 正 如 你 們 知 道 我 們 在 你 們 那 裡 、 為 你 們 的 緣 故 是 怎 樣 為 人 。
Anh em cũng đã bắt chước tôi và bắt chước Chúa, lấy sự vui vẻ của Đức Thánh Linh mà tiếp nhận đạo giữa lúc nhiều sự khốn khó,|並 且 你 們 在 大 難 之 中 、 蒙 了 聖 靈 所 賜 的 喜 樂 、 領 受 真 道 、 就 效 法 我 們 、 也 效 法 了 主 ．
đến nỗi anh em trở nên gương tốt cho hết thảy tín đồ ở xứ Ma-xê-đoan và xứ A-chai.|甚 至 你 們 作 了 馬 其 頓 和 亞 該 亞 、 所 有 信 主 之 人 的 榜 樣 。
Vì đạo Chúa không những từ nơi anh em vang ra trong xứ Ma-xê-đoan và A-chai thôi đâu, nhưng đức tin mà anh em có trong Đức Chúa Trời đã đồn khắp mọi nơi, đến nỗi chúng tôi không cần phải nói đến nữa.|因 為 主 的 道 從 你 們 那 裡 已 經 傳 揚 出 來 、 你 們 向 　 神 的 信 心 不 但 在 馬 其 頓 和 亞 該 亞 、 就 是 在 各 處 、 也 都 傳 開 了 ． 所 以 不 用 我 們 說 甚 麼 話 。
Vả, mọi người đều thuật lại thể nào anh em đã tiếp đãi chúng tôi, và thể nào đã trở lại cùng Đức Chúa Trời, bỏ hình tượng đặng thờ Đức Chúa Trời hằng sống và chân thật,|因 為 他 們 自 己 已 經 報 明 我 們 是 怎 樣 進 到 你 們 那 裡 、 你 們 是 怎 樣 離 棄 偶 像 歸 向 　 神 、 要 服 事 那 又 真 又 活 的 　 神 、
đặng chờ đợi Con Ngài từ trên trời, là Đức Chúa Jêsus mà Ngài đã khiến từ kẻ chết sống lại, tức là Đấng giải cứu chúng ta khỏi cơn thịnh nộ ngày sau.|等 候 他 兒 子 從 天 降 臨 、 就 是 他 從 死 裡 復 活 的 、 那 位 救 我 們 脫 離 將 來 忿 怒 的 耶 穌 。

					I Thê-sa-lô-ni-ca 2				|
						帖撒羅尼迦前書 2					
Hỡi anh em, chính anh em biết rõ rằng chúng tôi đã đến nơi anh em, ấy chẳng phải là vô ích đâu;|弟 兄 們 、 你 們 自 己 原 曉 得 我 們 進 到 你 們 那 裡 、 並 不 是 徒 然 的 。
nhưng sau khi bị đau đớn và sỉ nhục tại thành Phi-líp, như anh em đã biết, thì chúng tôi trông cậy Đức Chúa Trời, cứ rao truyền đạo Tin Lành của Đức Chúa Trời cách dạn dĩ giữa cơn đại chiến.|我 們 從 前 在 腓 立 比 被 害 受 辱 、 這 是 你 們 知 道 的 ． 然 而 還 是 靠 我 們 的 　 神 放 開 膽 量 、 在 大 爭 戰 中 把 　 神 的 福 音 傳 給 你 們 。
Vì sự giảng đạo của chúng tôi chẳng phải bởi sự sai lầm, hoặc ý không thanh sạch, cũng chẳng dùng điều gian dối.|我 們 的 勸 勉 、 不 是 出 於 錯 誤 、 不 是 出 於 污 穢 、 也 不 是 用 詭 詐 ．
Nhưng vì Đức Chúa Trời đã xét chúng tôi là xứng đáng giao cho việc giảng Tin Lành, nên chúng tôi cứ nói, không phải để đẹp lòng loài người, nhưng để đẹp lòng Đức Chúa Trời, là Đấng dò xét lòng chúng tôi.|但 　 神 既 然 驗 中 了 我 們 、 把 福 音 託 付 我 們 、 我 們 就 照 樣 講 、 不 是 要 討 人 喜 歡 、 乃 是 要 討 那 察 驗 我 們 心 的 　 神 喜 歡 。
Vả, anh em có biết, chúng tôi không hề dùng những lời dua nịnh, cũng không hề bởi lòng tư lợi mà làm, có Đức Chúa Trời chứng cho.|因 為 我 們 從 來 沒 有 用 過 諂 媚 的 話 、 這 是 你 們 知 道 的 ． 也 沒 有 藏 著 貪 心 、 這 是 　 神 可 以 作 見 證 的 。
Dẫu rằng chúng tôi có thể bắt anh em tôn trọng chúng tôi, vì là sứ đồ của Đấng Christ, song cũng chẳng cầu vinh hiển đến từ loài người, hoặc từ nơi anh em, hoặc từ nơi kẻ khác.|我 們 作 基 督 的 使 徒 、 雖 然 可 以 叫 人 尊 重 、 卻 沒 有 向 你 們 或 別 人 求 榮 耀 、
Nhưng chúng tôi đã ăn ở nhu mì giữa anh em, như một người vú săn sóc chính con mình cách dịu dàng vậy.|只 在 你 們 中 間 存 心 溫 柔 、 如 同 母 親 乳 養 自 己 的 孩 子 。
