
					I Ti-mô-thê 1				|
						提摩太前書 1					
Phao-lô, vâng mạng Đức Chúa Trời là Cứu Chúa chúng ta, và vâng mạng Đức Chúa Jêsus Christ là sự trông cậy chúng ta, làm sứ đồ của Đức Chúa Jêsus Christ,|奉 我 們 救 主 　 神 、 和 我 們 的 盼 望 基 督 耶 穌 之 命 、 作 基 督 耶 穌 使 徒 的 保 羅 、
gởi cho Ti-mô-thê, là con thật của ta trong đức tin: nguyền xin con được ân điển, sự thương xót và sự bình an ban cho bởi Đức Chúa Trời, Cha chúng ta, và bởi Đức Chúa Jêsus Christ, Chúa chúng ta!|寫 信 給 那 因 信 主 作 我 真 兒 子 提 摩 太 ． 願 恩 惠 憐 憫 平 安 、 從 父 　 神 和 我 們 主 基 督 耶 穌 、 歸 與 你 。
Ta nay nhắc lại mạng lịnh mà ta đã truyền cho con, khi ta đi sang xứ Ma-xê-đoan, con phải ở lại Ê-phê-sô, để răn bảo những người kia đừng truyền dạy một đạo giáo khác,|我 往 馬 其 頓 去 的 時 候 、 曾 勸 你 仍 住 在 以 弗 所 、 好 囑 咐 那 幾 個 人 、 不 可 傳 異 教 、
đừng nghe phù ngôn và gia phổ vô cùng, là những điều gây nên sự cãi lẫy, chớ chẳng bổ sự mở mang công việc của Đức Chúa Trời, là công việc được trọn bởi đức tin.|也 不 可 聽 從 荒 渺 無 憑 的 話 語 、 和 無 窮 的 家 譜 ． 這 等 事 只 生 辯 論 、 並 不 發 明 　 神 在 信 上 所 立 章 程 。
Mục đích của sự răn bảo, ấy là sự yêu thương, bởi lòng tinh sạch, lương tâm tốt và đức tin thật mà sanh ra.|但 命 令 的 總 歸 就 是 愛 ． 這 愛 是 從 清 潔 的 心 、 和 無 虧 的 良 心 、 無 偽 的 信 心 、 生 出 來 的 。
Có vài kẻ xây bỏ mục đích đó, đi tìm những lời vô ích;|有 人 偏 離 這 些 、 反 去 講 虛 浮 的 話 ．
họ muốn làm thầy dạy luật, mà không hiểu điều mình nói hoặc điều mình tự quyết.|想 要 作 教 法 師 、 卻 不 明 白 自 己 所 講 說 的 、 所 論 定 的 。
Vả, chúng ta biết luật pháp vẫn tốt lành cho kẻ dùng ra cách chánh đáng,|我 們 知 道 律 法 原 是 好 的 、 只 要 人 用 得 合 宜 ．
và biết rõ ràng luật pháp không phải lập ra cho người công bình, bèn là vì những kẻ trái luật pháp, bạn nghịch, vì những kẻ không tôn kính, phạm tội, những kẻ vô đạo, nói phạm thánh thần, những kẻ giết cha mẹ, giết người,|因 為 律 法 不 是 為 義 人 設 立 的 、 乃 是 為 不 法 和 不 服 的 、 不 虔 誠 和 犯 罪 的 、 不 聖 潔 和 戀 世 俗 的 、 弒 父 母 和 殺 人 的 、
vì những kẻ tà dâm, kẻ đắm nam sắc, ăn cướp người, nói dối, thề dối, và vì hết thảy sự trái nghịch với đạo lành.|行 淫 和 親 男 色 的 、 搶 人 口 和 說 謊 話 的 、 並 起 假 誓 的 、 或 是 為 別 樣 敵 正 道 的 事 設 立 的 。
Ay đó là điều đạo Tin Lành vinh hiển của Đức Chúa Trời hạnh phước dạy dỗ, mà sự truyền đạo đó đã giao phó cho ta.|這 是 照 著 可 稱 頌 之 　 神 交 託 我 榮 耀 福 音 說 的 。
Ta cảm tạ Đấng ban thêm sức cho ta, là Đức Chúa Jêsus Christ, Chúa chúng ta, về sự Ngài đã xét ta là trung thành, lập ta làm kẻ giúp việc;|我 感 謝 那 給 我 力 量 的 、 我 們 主 基 督 耶 穌 、 因 他 以 我 有 忠 心 、 派 我 服 事 他 。
ta ngày trước vốn là người phạm thượng, hay bắt bớ, hung bạo, nhưng ta đã đội ơn thương xót, vì ta đã làm những sự đó đương lúc ta ngu muội chưa tin.|我 從 前 是 褻 瀆 　 神 的 、 逼 迫 人 的 、 侮 慢 人 的 ． 然 而 我 還 蒙 了 憐 憫 、 因 我 是 不 信 不 明 白 的 時 候 而 作 的 。
An điển của Chúa chúng ta đã dư dật trong ta, với đức tin cùng sự thương yêu trong Đức Chúa Jêsus Christ.|並 且 我 主 的 恩 是 格 外 豐 盛 、 使 我 在 基 督 耶 穌 裡 有 信 心 和 愛 心 。
Đức Chúa Jêsus Christ đã đến trong thế gian để cứu vớt kẻ có tội, ấy là lời chắc chắn, đáng đem lòng tin trọn vẹn mà nhận lấy; trong những kẻ có tội đó ta là đầu.|基 督 耶 穌 降 世 、 為 要 拯 救 罪 人 ． 這 話 是 可 信 的 、 是 十 分 可 佩 服 的 ． 在 罪 人 中 我 是 個 罪 魁 。
Nhưng ta đã đội ơn thương xót, hầu cho Đức Chúa Jêsus Christ tỏ mọi sự nhịn nhục của Ngài ra trong ta là kẻ làm đầu, để dùng ta làm gương cho những kẻ sẽ tin Ngài được sự sống đời đời.|然 而 我 蒙 了 憐 憫 、 是 因 耶 穌 基 督 要 在 我 這 罪 魁 身 上 、 顯 明 他 一 切 的 忍 耐 、 給 後 來 信 他 得 永 生 的 人 作 榜 樣 。
Nguyền xin sự tôn quí, vinh hiển đời đời vô cùng về nơi Vua muôn đời, không hề hư nát, không thấy được, tức là Đức Chúa Trời có một mà thôi! A-men.|但 願 尊 貴 榮 耀 歸 與 那 不 能 朽 壞 不 能 看 見 永 世 的 君 王 、 獨 一 的 　 神 、 直 到 永 永 遠 遠 。 阿 們 。
Hỡi Ti-mô-thê, con ta, sự răn bảo mà ta truyền cho con, theo các lời tiên tri đã chỉ về con, tức là, phải nhờ những lời đó mà đánh trận tốt lành,|我 兒 提 摩 太 阿 、 我 照 從 前 指 著 你 的 豫 言 、 將 這 命 令 交 託 你 、 叫 你 因 此 可 以 打 那 美 好 的 仗 ．
