
					Tít 1				|
						提多書 1					
Ta, Phao-lô, tôi tớ của Đức Chúa Trời và sứ đồ của Đức Chúa Jêsus Christ, để đưa các người được chọn của Đức Chúa Trời đến đức tin và sự thông hiểu lẽ thật, là sự sanh lòng nhân đức,|　 神 的 僕 人 、 耶 穌 基 督 的 使 徒 保 羅 、 憑 著 　 神 選 民 的 信 心 、 與 敬 虔 真 理 的 知 識 、
trông cậy sự sống đời đời, là sự sống mà Đức Chúa Trời không thể nói dối đã hứa từ muôn đời về trước,|盼 望 那 無 謊 言 的 　 神 、 在 萬 古 之 先 所 應 許 的 永 生 、
tới kỳ chỉ định, Ngài đã bày tỏ lời của Ngài ra bởi sự giảng dạy, là sự ta đã chịu giao phó theo mạng lịnh Đức Chúa Trời, là Cứu Chúa chúng ta,|到 了 日 期 、 藉 著 傳 揚 的 工 夫 、 把 他 的 道 顯 明 了 ． 這 傳 揚 的 責 任 、 是 按 著 　 神 我 們 救 主 的 命 令 交 託 了 我 。
gởi cho Tít, là con thật ta trong đức tin chung: nguyền xin con được ân điển và sự bình an ban cho bởi Đức Chúa Trời, là Cha, và bởi Đức Chúa Jêsus Christ, Cứu Chúa chúng ta!|現 在 寫 信 給 提 多 、 就 是 照 著 我 們 共 信 之 道 作 我 真 兒 子 的 ． 願 恩 惠 平 安 、 從 父 　 神 和 我 們 的 救 主 基 督 耶 穌 歸 與 你 。
Ta đã để con ở lại Cơ-rết, đặng sắp đặt mọi việc chưa thu xếp, và theo như ta đã răn bảo cho con mà lập những trưởng lão trong mỗi thành.|我 從 前 留 你 在 革 哩 底 、 是 要 你 將 那 沒 有 辦 完 的 事 都 辦 整 齊 了 、 又 照 我 所 吩 咐 你 的 、 在 各 城 設 立 長 老 ．
Mỗi người trong vòng trưởng lão đó phải cho không chỗ trách được, chỉ chồng của một vợ; con cái phải tin Chúa, không được bị cáo là buông tuồng hoặc ngỗ nghịch.|若 有 無 可 指 責 的 人 、 只 作 一 個 婦 人 的 丈 夫 、 兒 女 也 是 信 主 的 、 沒 有 人 告 他 們 是 放 蕩 不 服 約 束 的 、 就 可 以 設 立 。
Vì người giám mục làm kẻ quản lý nhà Đức Chúa Trời thì phải cho không chỗ trách được. Chẳng nên kiêu ngạo, giận dữ, ghiền rượu, hung tàn, tham lợi;|監 督 既 是 　 神 的 管 家 、 必 須 無 可 指 責 、 不 任 性 、 不 暴 躁 、 不 因 酒 滋 事 、 不 打 人 、 不 貪 無 義 之 財 、
nhưng phải hay tiếp đãi khách, bạn với người hiền, khôn ngoan, công bình, thánh sạch, tiết độ,|樂 意 接 待 遠 人 、 好 善 、 莊 重 、 公 平 、 聖 潔 、 自 持 ．
hằng giữ đạo thật y như đã nghe dạy, hầu cho có thể theo đạo lành mà khuyên dổ người ta và bác lại kẻ chống trả.|堅 守 所 教 真 實 的 道 理 、 就 能 將 純 正 的 教 訓 勸 化 人 ． 又 能 把 爭 辯 的 人 駁 倒 了 。
