
					Gia-cơ 1				|
						雅各書 1					
Gia-cơ, tôi tớ Đức Chúa Trời và Đức Chúa Jêsus Christ, đạt cho mười hai chi phái ở tan lạc, chúc bình an!|作 　 神 和 主 耶 穌 基 督 僕 人 的 雅 各 、 請 散 住 十 二 個 支 派 之 人 的 安 。
Hỡi anh em, hãy coi sự thử thách trăm bề thoạt đến cho anh em như là điều vui mừng trọn vẹn,|我 的 弟 兄 們 、 你 們 落 在 百 般 試 煉 中 、 都 要 以 為 大 喜 樂 ．
vì biết rằng sự thử thách đức tin anh em sanh ra sự nhịn nhục.|因 為 知 道 你 們 的 信 心 經 過 試 驗 、 就 生 忍 耐 。
Nhưng sự nhịn nhục phải làm trọn việc nó, hầu cho chính mình anh em cũng trọn lành toàn vẹn, không thiếu thốn chút nào.|但 忍 耐 也 當 成 功 、 使 你 們 成 全 完 備 、 毫 無 缺 欠 。
Ví bằng trong anh em có kẻ kém khôn ngoan, hãy cầu xin Đức Chúa Trời, là Đấng ban cho mọi người cách rộng rãi, không trách móc ai, thì kẻ ấy sẽ được ban cho.|你 們 中 間 若 有 缺 少 智 慧 的 、 應 當 求 那 厚 賜 與 眾 人 、 也 不 斥 責 人 的 　 神 、 主 就 必 賜 給 他 。
Nhưng phải lấy đức tin mà cầu xin, chớ nghi ngờ; vì kẻ hay nghi ngờ giống như sóng biển, bị gió động và đưa đi đây đi đó.|只 要 憑 著 信 心 求 、 一 點 不 疑 惑 ． 因 為 那 疑 惑 的 人 、 就 像 海 中 的 波 浪 、 被 風 吹 動 翻 騰 。
Người như thế chớ nên tưởng mình lãnh được vật chi từ nơi Chúa:|這 樣 的 人 、 不 要 想 從 主 那 裡 得 甚 麼 ．
ấy là một người phân tâm, phàm làm việc gì đều không định.|心 懷 二 意 的 人 、 在 他 一 切 所 行 的 路 上 、 都 沒 有 定 見 。
Anh em nào ở địa vị thấp hèn hãy khoe mình về phần cao trọng mình,|卑 微 的 弟 兄 升 高 、 就 該 喜 樂 ．
kẻ giàu cũng hãy khoe mình về phần đê hèn, vì người sẽ qua đi như hoa cỏ.|富 足 的 降 卑 、 也 該 如 此 ． 因 為 他 必 要 過 去 、 如 同 草 上 的 花 一 樣 ．
Mặt trời mọc lên, nắng xẳng, cỏ khô, hoa rụng, sắc đẹp tồi tàn: kẻ giàu cũng sẽ khô héo như vậy trong những việc mình làm.|太 陽 出 來 、 熱 風 颳 起 、 草 就 枯 乾 、 花 也 凋 謝 、 美 容 就 消 沒 了 ． 那 富 足 的 人 、 在 他 所 行 的 事 上 、 也 要 這 樣 衰 殘 。
Phước cho người bị cám dỗ; vì lúc đã chịu nổi sự thử thách rồi, thì sẽ lãnh mão triều thiên của sự sống mà Đức Chúa Trời đã hứa cho kẻ kính mến Ngài.|忍 受 試 探 的 人 是 有 福 的 ． 因 為 他 經 過 試 驗 以 後 、 必 得 生 命 的 冠 冕 、 這 是 主 應 許 給 那 些 愛 他 之 人 的 。
Chớ có ai đương bị cám dỗ mà nói rằng: Ay là Đức Chúa Trời cám dỗ tôi; vì Đức Chúa Trời chẳng bị sự ác nào cám dỗ được, và chính Ngài cũng không cám dỗ ai.|人 被 試 探 、 不 可 說 、 我 是 被 　 神 試 探 ． 因 為 　 神 不 能 被 惡 試 探 、 他 也 不 試 探 人 ．
Nhưng mỗi người bị cám dỗ khi mắc tư dục xui giục mình.|但 各 人 被 試 探 、 乃 是 被 自 己 的 私 慾 牽 引 誘 惑 的 。
Đoạn, lòng tư dục cưu mang, sanh ra tội ác; tội ác đã trọn, sanh ra sự chết.|私 慾 既 懷 了 胎 、 就 生 出 罪 來 ． 罪 既 長 成 、 就 生 出 死 來 。
Hỡi anh em yêu dấu, chớ tự dối mình:|我 親 愛 的 弟 兄 們 、 不 要 看 錯 了 。
mọi ân điển tốt lành cùng sự ban cho trọn vẹn đều đến từ nơi cao và bởi Cha sáng láng mà xuống, trong Ngài chẳng có một sự thay đổi, cũng chẳng có bóng của sự biến cải nào.|各 樣 美 善 的 恩 賜 、 和 各 樣 全 備 的 賞 賜 、 都 是 從 上 頭 來 的 ． 從 眾 光 之 父 那 裡 降 下 來 的 ． 在 他 並 沒 有 改 變 、 也 沒 有 轉 動 的 影 兒 。
Ay chính Ngài theo ý muốn mình, đã dùng lời chân thật sanh chúng ta, hầu cho chúng ta được nên như trái đầu mùa của những vật Ngài dựng nên.|他 按 自 己 的 旨 意 、 用 真 道 生 了 我 們 、 叫 我 們 在 他 所 造 的 萬 物 中 、 好 像 初 熟 的 果 子 。
