
					I Phi-rơ 1				|
						彼得前書 1					
Phi -e-rơ, sứ đồ của Đức Chúa Jêsus Christ, gởi cho những người kiều ngụ rải rác trong xứ Bông, Ga-la-ti, Cáp-ba-đốc, A-si và Bi-thi-ni, là những người được chọn,|耶 穌 基 督 的 使 徒 彼 得 、 寫 信 給 那 分 散 在 本 都 、 加 拉 太 、 加 帕 多 家 、 亞 西 亞 、 庇 推 尼 寄 居 的 ．
theo sự biết trước của Đức Chúa Trời, là Đức Chúa Cha, và được nên thánh bởi Đức Thánh Linh, đặng vâng phục Đức Chúa Jêsus Christ và có phần trong sự rải huyết Ngài: nguyền xin ân điển và bình an thêm lên cho anh em!|就 是 照 父 　 神 的 先 見 被 揀 選 、 藉 著 聖 靈 得 成 聖 潔 、 以 致 順 服 耶 穌 基 督 、 又 蒙 他 血 所 灑 的 人 ． 願 恩 惠 平 安 、 多 多 的 加 給 你 們 。
Ngợi khen Đức Chúa Trời, là Cha Đức Chúa Jêsus Christ chúng ta, Ngài lấy lòng thương xót cả thể khiến chúng ta lại sanh, đặng chúng ta nhờ sự Đức Chúa Jêsus Christ sống lại từ trong kẻ chết mà có sự trông cậy sống,|願 頌 讚 歸 與 我 們 主 耶 穌 基 督 的 父 　 神 、 他 曾 照 自 己 的 大 憐 憫 、 藉 著 耶 穌 基 督 從 死 裡 復 活 、 重 生 了 我 們 、 叫 我 們 有 活 潑 的 盼 望 、
là cơ nghiệp không hư đi, không ô uế, không suy tàn, để dành trong các từng trời cho anh em,|可 以 得 著 不 能 朽 壞 、 不 能 玷 污 、 不 能 衰 殘 、 為 你 們 存 留 在 天 上 的 基 業 。
là kẻ bởi đức tin nhờ quyền phép của Đức Chúa Trời giữ cho, để được sự cứu rỗi gần hiện ra trong kỳ sau rốt!|你 們 這 因 信 蒙 　 神 能 力 保 守 的 人 、 必 能 得 著 所 豫 備 、 到 末 世 要 顯 現 的 救 恩 。
Anh em vui mừng về điều đó, dầu hiện nay anh em vì sự thử thách trăm bề buộc phải buồn bã ít lâu;|因 此 、 你 們 是 大 有 喜 樂 、 但 如 今 、 在 百 般 的 試 煉 中 暫 時 憂 愁 ．
hầu cho sự thử thách đức tin anh em quí hơn vàng hay hư nát, dầu đã bị thử lửa, sanh ra ngợi khen, tôn trọng, vinh hiển cho anh em khi Đức Chúa Jêsus Christ hiện ra.|叫 你 們 的 信 心 既 被 試 驗 、 就 比 那 被 火 試 驗 、 仍 然 能 壞 的 金 子 、 更 顯 寶 貴 ． 可 以 在 耶 穌 基 督 顯 現 的 時 候 、 得 著 稱 讚 、 榮 耀 、 尊 貴 。
Ngài là Đấng anh em không thấy mà yêu mến; dầu bây giờ anh em không thấy Ngài, nhưng tin Ngài, và vui mừng lắm một cách không xiết kể và vinh hiển:|你 們 雖 然 沒 有 見 過 他 、 卻 是 愛 他 ． 如 今 雖 不 得 看 見 、 卻 因 信 他 就 有 說 不 出 來 、 滿 有 榮 光 的 大 喜 樂 ．
nhận được phần thưởng về đức tin anh em, là sự cứu rỗi linh hồn mình.|並 且 得 著 你 們 信 心 的 果 效 、 就 是 靈 魂 的 救 恩 。
Về sự cứu rỗi đó, các đấng tiên tri đã tìm tòi suy xét, và đã nói tiên tri về ân điển định sẵn cho anh em:|論 到 這 救 恩 、 那 豫 先 說 你 們 要 得 恩 典 的 眾 先 知 、 早 已 詳 細 的 尋 求 考 察 ．
nghĩa là tìm cho biết thời kỳ nào và thời kỳ cách nào mà Thánh Linh Đấng Christ ở trong lòng mình đã chỉ cho, là khi làm chứng trước về sự đau đớn của Đấng Christ và về sự vinh hiển sẽ theo sau.|就 是 考 察 在 他 們 心 裡 基 督 的 靈 、 豫 先 證 明 基 督 受 苦 難 、 後 來 得 榮 耀 、 是 指 著 甚 麼 時 候 、 並 怎 樣 的 時 候 。
