
					I Giăng 1				|
						約翰一書 1					
Điều có từ trước hết, là điều chúng tôi đã nghe, điều mắt chúng tôi đã thấy, điều chúng tôi đã ngắm và tay chúng tôi đã rờ, về lời sự sống;|論 到 從 起 初 原 有 的 生 命 之 道 、 就 是 我 們 所 聽 見 所 看 見 、 親 眼 看 過 、 親 手 摸 過 的 ．
vì sự sống đã bày tỏ ra, chúng tôi có thấy, và đang làm chứng cho, chúng tôi rao truyền cho anh em sự sống đời đời vốn ở cùng Đức Chúa Cha và đã bày tỏ ra cho chúng tôi rồi;|（ 這 生 命 已 經 顯 現 出 來 、 我 們 也 看 見 過 、 現 在 又 作 見 證 、 將 原 與 父 同 在 、 且 顯 現 與 我 們 那 永 遠 的 生 命 、 傳 給 你 們 ． ）
chúng tôi lấy điều đã thấy đã nghe mà truyền cho anh em, hầu cho anh em cũng được giao thông với chúng tôi. Vả, chúng tôi vẫn được giao thông với Đức Chúa Cha, và với Con Ngài là Đức Chúa Jêsus Christ.|我 們 將 所 看 見 、 所 聽 見 的 、 傳 給 你 們 、 使 你 們 與 我 們 相 交 、 我 們 乃 是 與 父 並 他 兒 子 耶 穌 基 督 相 交 的 ．
Chúng tôi viết những điều đó cho anh em, hầu cho sự vui mừng của chúng tôi được đầy dẫy.|我 們 將 這 些 話 寫 給 你 們 、 使 你 們 〔 有 古 卷 作 我 們 〕 的 喜 樂 充 足 。
Nầy là lời truyền giảng mà chúng tôi đã nghe nơi Ngài và truyền lại cho anh em rằng Đức Chúa Trời là sự sáng, trong Ngài chẳng có sự tối tăm đâu.|　 神 就 是 光 、 在 他 亳 無 黑 暗 ． 這 是 我 們 從 主 所 聽 見 、 又 報 給 你 們 的 信 息 。
Ví bằng chúng ta nói mình được giao thông với Ngài, mà còn đi trong sự tối tăm, ấy là chúng ta nói dối và không làm theo lẽ thật.|我 們 若 說 是 與 　 神 相 交 、 卻 仍 在 黑 暗 裡 行 、 就 是 說 謊 話 、 不 行 真 理 了 ．
Nhưng, nếu chúng ta đi trong sự sáng cũng như chính mình Ngài ở trong sự sáng, thì chúng ta giao thông cùng nhau; và huyết của Đức Chúa Jêsus, Con Ngài, làm sạch mọi tội chúng ta.|我 們 若 在 光 明 中 行 、 如 同 　 神 在 光 明 中 、 就 彼 此 相 交 、 他 兒 子 耶 穌 的 血 也 洗 淨 我 們 一 切 的 罪 。
Ví bằng chúng ta nói mình không có tội chi hết, ấy là chính chúng ta lừa dối mình, và lẽ thật không ở trong chúng ta.|我 們 若 說 自 己 無 罪 、 便 是 自 欺 、 真 理 不 在 我 們 心 裡 了 。
Còn nếu chúng ta xưng tội mình, thì Ngài là thành tín công bình để tha tội cho chúng ta, và làm cho chúng ta sạch mọi điều gian ác.|我 們 若 認 自 己 的 罪 、 　 神 是 信 實 的 、 是 公 義 的 、 必 要 赦 免 我 們 的 罪 、 洗 淨 我 們 一 切 的 不 義 。
Nhược bằng chúng ta nói mình chẳng từng phạm tội, ấy là chúng ta cho Ngài là kẻ nói dối, lời Ngài không ở trong chúng ta.|我 們 若 說 自 己 沒 有 犯 過 罪 、 便 是 以 　 神 為 說 謊 的 ． 他 的 道 也 不 在 我 們 心 裡 了 。

					I Giăng 2				|
						約翰一書 2					
Hỡi con cái bé mọn ta, ta viết cho các con những điều nầy, hầu cho các con khỏi phạm tội. Nếu có ai phạm tội, thì chúng ta có Đấng cầu thay ở nơi Đức Chúa Cha, là Đức Chúa Jêsus Christ, tức là Đấng công bình.|我 小 子 們 哪 、 我 將 這 些 話 寫 給 你 們 、 是 要 叫 你 們 不 犯 罪 。 若 有 人 犯 罪 、 在 父 那 裡 我 們 有 一 位 中 保 、 就 是 那 義 者 耶 穌 基 督 ．
Ay chính Ngài làm của lễ chuộc tội lỗi chúng ta, không những vì tội lỗi chúng ta thôi đâu, mà cũng vì tội lỗi cả thế gian nữa.|他 為 我 們 的 罪 作 了 挽 回 祭 ． 不 是 單 為 我 們 的 罪 、 也 是 為 普 天 下 人 的 罪 。
Nầy tại sao chúng ta biết mình đã biết Ngài, ấy là tại chúng ta giữ các điều răn của Ngài.|我 們 若 遵 守 他 的 誡 命 、 就 曉 得 是 認 識 他 。
Kẻ nào nói: Ta biết Ngài, mà không giữ điều răn Ngài, là người nói dối, lẽ thật quyết không ở trong người.|人 若 說 我 認 識 他 、 卻 不 遵 守 他 的 誡 命 、 便 是 說 謊 話 的 、 真 理 也 不 在 他 心 裡 了 。
Nhưng ai giữ lời phán Ngài, thì lòng kính mến Đức Chúa Trời thật là trọn vẹn trong người ấy. Bởi đó, chúng ta biết mình ở trong Ngài.|凡 遵 守 主 道 的 、 愛 　 神 的 心 在 他 裡 面 實 在 是 完 全 的 、 從 此 我 們 知 道 我 們 是 在 主 裡 面 ．
Ai nói mình ở trong Ngài, thì cũng phải làm theo như chính Ngài đã làm.|人 若 說 他 住 在 主 裡 面 、 就 該 自 己 照 主 所 行 的 去 行 。
Hỡi kẻ rất yêu dấu, ấy chẳng phải là điều răn mới mà ta viết cho anh em, bèn là điều răn cũ anh em đã nhận lấy từ lúc ban đầu; điều răn cũ nầy tức là lời anh em đã nghe.|親 愛 的 弟 兄 阿 、 我 寫 給 你 們 的 、 不 是 一 條 新 命 令 、 乃 是 你 們 從 起 初 所 受 的 舊 命 令 ． 這 舊 命 令 就 是 你 們 所 聽 見 的 道 。
Song le, ta cũng viết cho anh em điều răn mới, là điều chân thật trong Chúa và trong anh em, vì sự tối tăm đã trên rồi, và sự sáng thật đã soi sáng.|再 者 、 我 寫 給 你 們 的 是 一 條 新 命 令 、 在 主 是 真 的 、 在 你 們 也 是 真 的 ． 因 為 黑 暗 漸 漸 過 去 、 真 光 已 經 照 耀 。
Kẻ nào nói mình trong sự sáng, mà ghét anh em mình thì còn ở trong sự tối tăm.|人 若 說 自 己 在 光 明 中 、 卻 恨 他 的 弟 兄 、 他 到 如 今 還 是 在 黑 暗 裡 。
Ai yêu mến anh em mình, thì ở trong sự sáng, nơi người đó chẳng có điều chi gây cho vấp phạm.|愛 弟 兄 的 就 是 住 在 光 明 中 、 在 他 並 沒 有 絆 跌 的 緣 由 。
Nhưng ai ghét anh em mình, thì ở trong sự tối tăm, làm những việc tối tăm, và không biết mình đi đâu, vì bóng tối tăm đã làm mù mắt người.|惟 獨 恨 弟 兄 的 是 在 黑 暗 裡 、 且 在 黑 暗 裡 行 、 也 不 知 道 往 那 裡 去 、 因 為 黑 暗 叫 他 眼 睛 瞎 了 。
Hỡi các con cái bé mọn ta, ta viết cho các con, vì tội lỗi các con đã nhờ danh Chúa được tha cho.|小 子 們 哪 、 我 寫 信 給 你 們 、 因 為 你 們 的 罪 藉 著 主 名 得 了 赦 免 。
Hỡi các phụ lão, tôi viết cho các ông, vì các ông đã biết Đấng có từ lúc ban đầu. Hỡi kẻ trẻ tuổi, ta viết cho các ngươi, vì các ngươi đã thắng được ma quỉ.|父 老 阿 、 我 寫 信 給 你 們 、 因 為 你 們 認 識 那 從 起 初 原 有 的 。 少 年 人 哪 、 我 寫 信 給 你 們 、 因 為 你 們 勝 了 那 惡 者 。 小 子 們 哪 、 我 曾 寫 信 給 你 們 、 因 為 你 們 認 識 父 。
Hỡi con trẻ, ta đã viết cho các con, vì các con đã biết Đức Chúa Cha. Hỡi phụ lão, tôi đã viết cho các ông, vì các ông đã biết Đấng có từ lúc ban đầu. Hỡi kẻ trẻ tuổi, ta đã viết cho các ngươi, vì các ngươi là mạnh mẽ, lời Đức Chúa Trời ở trong các ngươi, và các ngươi đã thắng được ma quỉ.|父 老 阿 、 我 曾 寫 信 給 你 們 、 因 為 你 們 認 識 那 從 起 初 原 有 的 。 少 年 人 哪 、 我 曾 寫 信 給 你 們 、 因 為 你 們 剛 強 、 　 神 的 道 常 存 在 你 們 心 裡 、 你 們 也 勝 了 那 惡 者 。
Chớ yêu thế gian, cũng đừng yêu các vật ở thế gian nữa; nếu ai yêu thế gian, thì sự kính mến Đức Chúa Cha chẳng ở trong người ấy.|不 要 愛 世 界 、 和 世 界 上 的 事 。 人 若 愛 世 界 、 愛 父 的 心 就 不 在 他 裡 面 了 。
Vì mọi sự trong thế gian, như sự mê tham của xác thịt, sự mê tham của mắt, và sự kiêu ngạo của đời, đều chẳng từ Cha mà đến, nhưng từ thế gian mà ra.|因 為 凡 世 界 上 的 事 、 就 像 肉 體 的 情 慾 、 眼 目 的 情 慾 、 並 今 生 的 驕 傲 、 都 不 是 從 父 來 的 、 乃 是 從 世 界 來 的 。
Vả thế gian với sự tham dục nó đều qua đi, song ai làm theo ý muốn Đức Chúa Trời thì còn lại đời đời.|這 世 界 、 和 其 上 的 情 慾 、 都 要 過 去 ． 惟 獨 遵 行 　 神 旨 意 的 、 是 永 遠 常 存 。
Hỡi các con cái ta, giờ cuối cùng là đây rồi, các con đã nghe nói rằng Kẻ địch lại Đấng Christ phải đến. Vừa lúc bây giờ, có nhiều kẻ địch lại Đấng Christ; bởi đó, chúng ta biết rằng ấy là giờ cuối cùng.|小 子 們 哪 、 如 今 是 末 時 了 ． 你 們 曾 聽 見 說 、 那 敵 基 督 的 要 來 、 現 在 已 經 有 好 些 敵 基 督 的 出 來 了 ． 從 此 我 們 就 知 道 如 今 是 末 時 了 。
