
					I Sa-mu-ên 1				|
						撒母耳記上 1					
Xưa tại Ra-ma-tha-im-xô-phim, có một người quê ở núi Ep-ra-im, tên là En-ca-na, con trai của Giê-rô-ham, cháu của Ê-li-hu, chắt của Tô-hu, chít của Xu-phơ, người Ep-ra-im;|以 法 蓮 山 地 的 拉 瑪 瑣 非 、 有 一 個 以 法 蓮 人 、 名 叫 以 利 加 拿 、 是 蘇 弗 的 玄 孫 、 託 戶 的 曾 孫 、 以 利 戶 的 孫 子 、 耶 羅 罕 的 兒 子 。
En-ca-na có hai người vợ, người này tên là An-ne, và người kia tên là Phê-ni-na. Phê-ni-na có con, còn An-ne không có.|他 有 兩 個 妻 、 一 名 哈 拿 、 一 名 毘 尼 拿 、 毘 尼 拿 有 兒 女 、 哈 拿 沒 有 兒 女 。
Mỗi năm, En-ca-na ở thành mình đi lên Si-lô đặng thờ phượng Đức Giê-hô-va vạn quân, và dâng của tế lễ cho Ngài; tại Si-lô có hai con trai của Hê-li, và Hốp-ni và Phi-nê -a, thầy tế lễ của Đức Giê-hô-va.|這 人 每 年 從 本 城 上 到 示 羅 、 敬 拜 祭 祀 萬 軍 之 耶 和 華 ． 在 那 裡 有 以 利 的 兩 個 兒 子 、 何 弗 尼 、 非 尼 哈 、 當 耶 和 華 的 祭 司 。
Đến ngày En-ca-na dâng tế lễ, thì chia của lễ ra từng phần ban cho Phê-ni-na, vợ mình, và cho các con trai và con gái mình.|以 利 加 拿 每 逢 獻 祭 的 日 子 、 將 祭 肉 分 給 他 的 妻 毘 尼 拿 和 毘 尼 拿 所 生 的 兒 女 。
Nhưng người lại ban cho An-ne một phần bằng hai, vì người thương nàng, dẫu rằng Đức Giê-hô-va khiến cho nàng son sẻ.|給 哈 拿 的 卻 是 雙 分 、 因 為 他 愛 哈 拿 ． 無 奈 耶 和 華 不 使 哈 拿 生 育 。
Kẻ phân bì nàng khôn xiết trêu ghẹo nàng, để giục nàng lằm bằm vì Đức Giê-hô-va đã khiến nàng son sẻ.|毘 尼 拿 見 耶 和 華 不 使 哈 拿 生 育 、 就 作 他 的 對 頭 、 大 大 激 動 他 、 要 使 他 生 氣 。
Từ năm nầy đến năm kia, mỗi khi nàng đi lên đền Đức Giê-hô-va, chồng nàng đãi nàng như vậy, còn Phê-ni-na cứ trêu ghẹo nàng; An-ne khóc và không ăn.|每 年 上 到 耶 和 華 殿 的 時 候 、 以 利 加 拿 都 以 雙 分 給 哈 拿 ． 毘 尼 拿 仍 是 激 動 他 、 以 致 他 哭 泣 不 喫 飯 。
En-ca-na, chồng nàng, nói rằng: Hỡi An-ne, sao nàng khóc? Cớ sao không ăn và lòng buồn bực dường ấy? Ta há chẳng đáng cho nàng hơn mười đứa con trai ư?|他 丈 夫 以 利 加 拿 對 他 說 、 哈 拿 阿 、 你 為 何 哭 泣 、 不 喫 飯 、 心 裡 愁 悶 呢 ． 有 我 不 比 十 個 兒 子 還 好 麼 。
Sau khi người ta đã ăn uống tại Si-lô rồi, An-ne bèn đứng dậy; lúc ấy Hê-li, thầy tế lễ, đương ngồi trên một cái ghế gần bên cửa của đền Đức Giê-hô-va.|他 們 在 示 羅 喫 喝 完 了 、 哈 拿 就 站 起 來 。 祭 司 以 利 、 在 耶 和 華 殿 的 門 框 旁 邊 坐 在 自 己 的 位 上 。
