
					I Các Vua 1				|
						列王紀上 1					
Vua Đa-vít đã già; tuổi cao; và mặc dầu người ta đắp áo cho người, cũng không thể ấm được.|大 衛 王 年 紀 老 邁 、 雖 用 被 遮 蓋 、 仍 不 覺 暖 。
Các tôi tớ người nói với người rằng: Xin tìm cho vua chúa tôi một gái trẻ đồng trinh, để hầu hạ vua và săn sóc vua. Nàng sẽ nằm trong lòng vua, thì vua chúa tôi có thể ấm được.|所 以 臣 僕 對 他 說 、 不 如 為 我 主 我 王 尋 找 一 個 處 女 、 使 他 伺 候 王 、 奉 養 王 、 睡 在 王 的 懷 中 、 好 叫 我 主 我 王 得 暖 。
Vậy người ta tìm trong khắp địa phận Y-sơ-ra-ên một người gái trẻ đẹp, và gặp được A-bi-sác, người Su-nem, dẫn nàng đến cùng vua.|於 是 在 以 色 列 全 境 尋 找 美 貌 的 童 女 、 尋 得 書 念 的 一 個 童 女 亞 比 煞 、 就 帶 到 王 那 裡 。
Người gái trẻ này rất là lịch sự. Nàng săn sóc và hầu hạ vua; nhưng vua không thân cận nàng.|這 童 女 極 其 美 貌 、 他 奉 養 王 、 伺 候 王 、 王 卻 沒 有 與 他 親 近 。
Vả, A-đô-ni-gia, con trai Ha-ghít, tự tôn mà rằng: Ta sẽ làm vua. Người sắm xe và quân kỵ, cùng năm mươi người chạy trước mặt mình.|那 時 、 哈 及 的 兒 子 亞 多 尼 雅 自 尊 、 說 、 我 必 作 王 、 就 為 自 己 豫 備 車 輛 、 馬 兵 、 又 派 五 十 人 在 他 前 頭 奔 走 。
Cha người chẳng hề phiền lòng người mà hỏi rằng: Cớ sao mầy làm như vậy? Vả lại, A-đô-ni-gia rất đẹp, sanh ra kế sau Ap-sa-lôm.|他 父 親 素 來 沒 有 使 他 憂 悶 、 說 、 你 是 作 甚 麼 呢 ． 他 甚 俊 美 、 生 在 押 沙 龍 之 後 。
Người bàn tính với Giô-áp, con trai của Xê-ru-gia và với thầy tế lễ A-bia-tha; hai người theo phe A-đô-ni-gia và giúp đỡ người.|亞 多 尼 雅 與 洗 魯 雅 的 兒 子 約 押 、 和 祭 司 亞 比 亞 他 商 議 ． 二 人 就 順 從 他 、 幫 助 他 。
Nhưng thầy tế lễ Xa-đốc và Bê-na-gia, con trai Giê-hô-gia-đa, Na-than, thầy tiên tri, Si-mê -i, Rê -i, và các dõng sĩ của Đa-vít không theo phe A-đô-ni-gia.|但 祭 司 撒 督 、 耶 何 耶 大 的 兒 子 比 拿 雅 、 先 知 拿 單 、 示 每 、 利 以 、 並 大 衛 的 勇 士 、 都 不 順 從 亞 多 尼 雅 。
A-đô-ni-gia dâng những chiên, bò, và bò con mập bên hòn đá Xô-hê-lết, ở cạnh giếng En-Rô-ghên; rồi mời anh em mình, là các con trai của vua, và hết thảy những người Giu-đa phục sự vua.|一 日 亞 多 尼 雅 在 隱 羅 結 旁 、 瑣 希 列 磐 石 那 裡 、 宰 了 牛 羊 、 肥 犢 、 請 他 的 諸 弟 兄 、 就 是 王 的 眾 子 、 並 所 有 作 王 臣 僕 的 猶 大 人 、
